dataset,selector_status,T,s_T,gamma,fine_radius,tau,beta,regions,stable_support,checkpoint_stability,radius_stability,beta_agreement,largest_region_fraction,normalized_entropy,compression,OA,BA,NMI,ARI,earlier_T,earlier_fine_radius,earlier_tau,earlier_beta,earlier_regions_full_scene,earlier_OA,earlier_BA,earlier_NMI,earlier_ARI,delta_OA,delta_BA,delta_NMI,delta_ARI
salinas_a,fallback_conservative,50,0.15640072524547577,1.5,0.23460108786821365,0.6,0.0,34,0.910520569533917,0.845678234548195,0.910520569533917,0.6586754657047349,0.197254132810311,0.6862817925755956,0.3584905660377359,0.7765519820493643,0.8109346566424178,0.8578695943621774,0.7651173931321741,100,0.15,0.75,0.5,7,0.8057217651,0.747497244,0.8658628671,0.7494985721,-0.029169783050635778,0.06343741264241787,-0.007993272737822688,0.015618821032174046
indian_pines,fallback_conservative,200,0.09272643178701401,1.25,0.11590803973376751,0.75,0.0,67,0.87537939203325,0.5592651430989591,0.87537939203325,0.5015459432378617,0.26325802615933414,0.7330020302093161,0.6968325791855203,0.4815103912576837,0.5878471422800997,0.6628245871141,0.3508066244740554,50,0.3,0.6,0.5,35,0.4180895697,0.4955754819,0.5884603159,0.3021832291,0.0634208215576837,0.09227166038009971,0.07436427121409994,0.04862339537405541
ksc,selected_size_aware,200,0.008455870673060417,1.0,0.008455870673060417,3.0,0.5,921,0.9005781206542424,0.8453028350638135,0.9005781206542424,0.9480506163038616,0.3055272801302932,0.5285364216285989,0.8102204821759736,0.6649395509499136,0.5845706241250723,0.8031866776502267,0.7178979328827246,100,0.0125,3.0,0.5,720,0.4642103243,0.3754820266,0.6305940831,0.3226347228,0.20072922664991366,0.2090885975250723,0.17259259455022669,0.39526321008272464
pavia_university,fallback_conservative,200,0.048036590218544006,1.5,0.07205488532781601,0.55,0.0,466,0.833893032338424,0.7385083153287944,0.833893032338424,0.43242159880844167,0.23851012536162006,0.6689241585821035,0.6467020470053071,0.5014260332896951,0.5707221625167533,0.6517192421439608,0.33183877615856333,100,0.15,3.0,0.5,207,0.6364783991,0.5009343545,0.6836429337,0.5136556318,-0.1350523658103049,0.06978780801675333,-0.031923691556039135,-0.18181685564143663
whu_hi_longkou,fallback_conservative,50,0.09700552374124527,1.25,0.12125690467655659,0.55,0.0,229,0.8848619510135269,0.8848619510135269,0.856906663316903,0.8838863842731971,0.3069909090909091,0.4917274706183771,0.8257229832572298,0.6743309442559474,0.5474514711062892,0.758338076180182,0.7367027738496899,100,0.2,0.5,0.0,110,0.8109581406,0.5497125911,0.8078669515,0.8260649967,-0.13662719634405263,-0.002261119993710814,-0.04952887531981798,-0.08936222285031015
whu_hi_honghu,fallback_conservative,50,0.13928234577178955,1.25,0.17410293221473694,0.55,0.0,934,0.804194741647797,0.804194741647797,0.743641936959101,0.989170352180451,0.39176483762597986,0.4808003189621854,0.4851157662624035,0.7313760528377808,0.5362639106238966,0.7638253559565792,0.8547016715435802,25,0.2,0.75,0.5,46,0.7703630529,0.6197677016,0.76486775,0.8585813541,-0.03898700006221911,-0.0835037909761035,-0.001042394043420769,-0.0038796825564197945
whu_hi_hanchuan,fallback_conservative,200,0.03967113420367241,1.5,0.059506701305508614,0.65,0.0,611,0.8587495330591629,0.8581084256784709,0.8587495330591629,0.9287005018413865,0.26669215812296104,0.6264265207043324,0.8284189834316203,0.4537723760338601,0.3591834570516584,0.5996666510776132,0.6257845175664378,100,0.075,3.0,0.5,83,0.512988778,0.3828498408,0.613392922,0.6365325394,-0.059216401966139864,-0.023666383748341624,-0.013726270922386763,-0.01074802183356216
botswana,fallback_conservative,25,0.1699199378490448,1.0,0.1699199378490448,0.5,0.0,891,0.8611406617435563,0.8611406617435563,0.21625561058652132,0.9527284793472384,0.3072202108739837,0.4959161552020454,0.619067977768277,0.31157635467980294,0.30986742910336923,0.6939162877972754,0.26770986586966744,50,0.15,0.65,0.5,38,0.4498152709,0.438112345,0.71660206,0.3234322868,-0.13823891622019707,-0.12824491589663078,-0.022685772202724608,-0.055722420930332583
