ari_mean,ari_std,balanced_accuracy_mean,balanced_accuracy_std,dataset,fidelity,kappa_mean,kappa_std,method,nmi_mean,nmi_std,overall_accuracy_mean,overall_accuracy_std,peak_host_memory_mb_mean,peak_host_memory_mb_std,runtime_seconds_external_mean,runtime_seconds_external_std,successful_runs
0.03752236352572208,0.0,0.15609487038058467,0.0,botswana,matched-superpixel-adaptation+declared-dependency-fill,0.11082963105904475,0.0,dlss,0.2336170696499221,0.0,0.19458128078817735,0.0,902.73792,0.0,4.069743235000033,0.0,1
0.08329520067574954,0.0,0.18473038585998328,0.0,botswana,official-superpixel+declared-octave-and-propagation-shims,0.12595614178737868,0.0,s2dl,0.24888162711626832,0.0,0.19304187192118227,0.0,305.504256,0.0,135.65210298599993,0.0,1
,,,,botswana,,,,srusc,,,,,,,,,0
0.2433631880943811,0.0,0.30211587932221595,0.0,indian_pines,matched-superpixel-adaptation+declared-dependency-fill,0.3575279209337421,0.0,dlss,0.5416164371163689,0.0,0.4368231046931408,0.0,89.051136,0.0,0.3132933540000522,0.0,1
0.2028804577739838,0.0,0.33841661622134567,0.0,indian_pines,official-superpixel+declared-octave-and-propagation-shims,0.312520605263239,0.0,s2dl,0.45271366278045083,0.0,0.3712557322665626,0.0,102.576128,0.0,1.0039811009999084,0.0,1
0.12001457389676971,0.0,0.19481746639755673,0.0,indian_pines,matched-superpixel-adaptation,0.22725038028490152,0.0,srusc,0.3185402785182694,0.0,0.349595082447068,0.0,99.10272,0.0,0.4823324489998413,0.0,1
0.003058503909156777,0.0,0.09985666507405638,0.0,ksc,matched-superpixel-adaptation+declared-dependency-fill,0.013438703379922146,0.0,dlss,0.025689280818376622,0.0,0.1871042026482441,0.0,626.786304,0.0,9.930158861999985,0.0,1
0.08414914901437133,0.0,0.1960279477237477,0.0,ksc,official-superpixel+declared-octave-and-propagation-shims,0.10711030401558941,0.0,s2dl,0.22352980799920205,0.0,0.18384187296104396,0.0,280.39168,0.0,96.74786653699994,0.0,1
,,,,ksc,,,,srusc,,,,,,,,,0
0.006306155926425766,0.0,0.12292441140024783,0.0,pavia_university,matched-superpixel-adaptation+declared-dependency-fill,0.009559627310133045,0.0,dlss,0.02159169861366601,0.0,0.43931176360576024,0.0,187.342848,0.0,1.2329524570000103,0.0,1
-0.021570475954484924,0.0,0.1974218459335571,0.0,pavia_university,official-superpixel+declared-octave-and-propagation-shims,0.15314782579529185,0.0,s2dl,0.13949712945996479,0.0,0.284365064522162,0.0,205.930496,0.0,32.78595249700015,0.0,1
,,,,pavia_university,,,,srusc,,,,,,,,,0
0.5135901979362584,0.0,0.6446098273354581,0.0,salinas_a,matched-superpixel-adaptation+declared-dependency-fill,0.5394272909275506,0.0,dlss,0.6854192729778098,0.0,0.6303290949887809,0.0,90.226688,0.0,0.28085535199988954,0.0,1
0.16794406533266185,0.0,0.3270804837235588,0.0,salinas_a,official-superpixel+declared-octave-and-propagation-shims,0.28937382570995107,0.0,s2dl,0.3136530267439736,0.0,0.462602842183994,0.0,97.562624,0.0,0.5243656689999625,0.0,1
0.12321913195387739,0.0,0.383561706513668,0.0,salinas_a,matched-superpixel-adaptation,0.2270156322872371,0.0,srusc,0.2572673464237122,0.0,0.39715781600598354,0.0,89.16992,0.0,0.3749721149999914,0.0,1
-0.0008199841010926125,0.0,0.16675965122380088,0.0,trento,matched-superpixel-adaptation+declared-dependency-fill,-0.0051924742815674385,0.0,dlss,0.021459406190838873,0.0,0.3398424571390746,0.0,101.654528,0.0,0.4186488290001762,0.0,1
0.04851113576873422,0.0,0.20721675596104858,0.0,trento,official-superpixel+declared-octave-and-propagation-shims,0.09113723228291959,0.0,s2dl,0.06427683275432568,0.0,0.3663533461309327,0.0,148.410368,0.0,2.446359890000167,0.0,1
0.014967046112811976,0.0,0.09753272025277591,0.0,whu_hi_hanchuan,matched-superpixel-adaptation+declared-dependency-fill,0.042092376937509335,0.0,dlss,0.07174377360720781,0.0,0.3149186502543393,0.0,957.661184,0.0,16.18106690500008,0.0,1
0.03421153595805631,0.0,0.15152804194016822,0.0,whu_hi_hanchuan,official-superpixel+declared-octave-and-propagation-shims,0.08661366838478723,0.0,s2dl,0.1317989940244635,0.0,0.16424882537956742,0.0,305.70496,0.0,136.02881183599993,0.0,1
,,,,whu_hi_hanchuan,,,,srusc,,,,,,,,,0
0.029669025267186958,0.0,0.09861333568069365,0.0,whu_hi_honghu,matched-superpixel-adaptation+declared-dependency-fill,0.04556743284632181,0.0,dlss,0.10585957064334313,0.0,0.4375227893962394,0.0,1168.027648,0.0,21.741899170000124,0.0,1
0.12315030189988015,0.0,0.15604728571755905,0.0,whu_hi_honghu,official-superpixel+declared-octave-and-propagation-shims,0.11551649712302159,0.0,s2dl,0.21800490870251188,0.0,0.19670125913838626,0.0,351.813632,0.0,166.336888477,0.0,1
,,,,whu_hi_honghu,,,,srusc,,,,,,,,,0
0.04258170791677653,0.0,0.1860380085646166,0.0,whu_hi_longkou,matched-superpixel-adaptation+declared-dependency-fill,0.043663728076077435,0.0,dlss,0.1166976541316014,0.0,0.34656940872779185,0.0,232.390656,0.0,1.9449514819998512,0.0,1
-0.0033047727477398367,0.0,0.13288682934588372,0.0,whu_hi_longkou,official-superpixel+declared-octave-and-propagation-shims,0.01801514293149087,0.0,s2dl,0.024278844992607424,0.0,0.209326201953633,0.0,216.86272,0.0,46.78569838599992,0.0,1
,,,,whu_hi_longkou,,,,srusc,,,,,,,,,0
