dataset,frozen_cpu_clusters,new_gpu_clusters,cluster_count_difference,partition_ari_all_pixels,partition_ari_labelled_pixels,gpu_OA,gpu_BA,gpu_NMI,gpu_ARI,runtime_seconds,peak_gpu_allocated_mb
ksc,720,686,-34,0.9959895290873476,0.9996366363597676,0.4636346190750335,0.3749312646853883,0.6315225880924152,0.3227936720952384,21.83416684300028,10517.508096
whu_hi_hanchuan,83,102,19,0.911411926603761,0.9577986433862566,0.5020541296159671,0.4466266730959193,0.600852957601695,0.628184180591261,34.826109166000606,12334.5536
botswana,38,43,5,0.992110802519198,0.9854098902191816,0.4310344827586206,0.4219147879047366,0.7022843166099344,0.3070647567325888,23.059264604999957,12638.769152
