dataset,display_name,true_classes,fine_modes_full,final_clusters_full,final_clusters_on_labeled_pixels,full_cluster_to_class_ratio,labeled_cluster_to_class_ratio,fine_to_final_compression_ratio,labeled_pixel_fraction,OA_hungarian_one_to_one,NMI,ARI,predicted_clusters_on_labeled_pixels,cluster_purity_many_to_one,mean_fragments_for_90pct_class_mass,max_fragments_for_90pct_class_mass,mean_dominant_cluster_fraction_per_class,mean_normalized_within_class_fragment_entropy,purity_minus_hungarian_OA
salinas_a,Salinas-A,6,51,7,6,1.1666666666666667,1.0,0.1372549019607843,0.7492294760437097,0.8057217651458489,0.8658628671449173,0.7494985720647199,6,0.9164173522812268,1.1666666666666667,2,0.9141639106735904,0.1687169574110294,0.1106955871353777
indian_pines,Indian Pines,16,122,35,33,2.1875,2.0625,0.2868852459016393,0.4874673008323424,0.4180895697141184,0.5884603158773851,0.302183229144247,33,0.6835788857449507,3.125,7,0.6607458297861253,0.5334829501163973,0.2654893160308323
ksc,KSC,13,4099,720,31,55.38461538461539,2.3846153846153846,0.1756525981946816,0.0165761146172638,0.4642103243139512,0.6305940831371325,0.3226347228184095,31,0.6025714834004989,2.3846153846153846,8,0.751657792913989,0.4029415026813518,0.1383611590865476
pavia_university,Pavia University,9,692,207,76,23.0,8.444444444444445,0.2991329479768786,0.2062487945998071,0.6364783991023003,0.6836429337225108,0.5136556317923918,76,0.7969889657752011,4.555555555555555,19,0.6120454656516612,0.463055987018137,0.1605105666729007
whu_hi_longkou,WHU-Hi LongKou,9,303,110,77,12.22222222222222,8.555555555555555,0.363036303630363,0.9297363636363636,0.8109581406263751,0.8078669514573277,0.8260649967194518,77,0.9423052478219632,3.0,10,0.7717881804219704,0.253899873895898,0.1313471071955881
whu_hi_honghu,WHU-Hi HongHu,22,3013,46,46,2.090909090909091,2.090909090909091,0.015267175572519,0.866053751399776,0.7703630528610551,0.7648677499572327,0.8585813540740569,46,0.8791858140695591,2.863636363636364,7,0.6471249867582327,0.4288682418637679,0.1088227612085039
whu_hi_hanchuan,WHU-Hi HanChuan,16,3841,83,79,5.1875,4.9375,0.0216089560010413,0.6983845467537715,0.5129887780064458,0.613392922012487,0.6365325393677354,79,0.7673358443676465,6.375,15,0.4842631584265173,0.5642606464827808,0.2543470663612006
botswana,Botswana,14,1355,38,21,2.7142857142857144,1.5,0.0280442804428044,0.008595867208672,0.4498152709359606,0.7166020599989423,0.3234322867601792,21,0.6111453201970444,2.0,4,0.7347350492962249,0.4750665960181845,0.1613300492610838
trento,Trento,6,213,68,41,11.333333333333334,6.833333333333333,0.3192488262910798,0.3033534136546185,0.85331303369299,0.8494834984320455,0.9447463525838752,41,0.9877209240749322,4.666666666666667,11,0.6773542941185876,0.3746173236163319,0.1344078903819421
