dataset,perturbation,kind,strength,seed,selected_threshold,selected_clusters_full,selector_status,selector_reason,partition_ari_all_pixels_vs_frozen,partition_ari_labelled_pixels_vs_frozen,overall_accuracy,balanced_accuracy,nmi,ari,runtime_seconds,peak_gpu_allocated_mb,selection_protocol
pavia_university,noise_1pct_seed1,noise,0.01,1,0.6,102,selected,most compressed persistent non-degenerate endpoint,0.9627593440206076,0.9635891859558652,0.6274546474658688,0.5213927246184485,0.6812541418640252,0.4933345753906311,15.659358294000413,6944.055808,label-free threshold re-selection
pavia_university,noise_1pct_seed2,noise,0.01,2,3.0,147,selected,most compressed persistent non-degenerate endpoint,0.981277041146458,0.9974036341765484,0.6390265569478212,0.5123196753492307,0.6873133266916619,0.5133467997967829,14.82366765900042,6943.494656,label-free threshold re-selection
pavia_university,pixel_replacement_5pct_seed1,pixel_replace,0.05,1,0.0,700,abstain,no persistent non-degenerate region,0.4854627168695033,0.5562865836419197,0.4760145876192257,0.3097686167080423,0.494345389078513,0.239895368013859,14.708592783999848,6943.494656,label-free threshold re-selection
pavia_university,pixel_replacement_5pct_seed2,pixel_replace,0.05,2,0.0,697,abstain,no persistent non-degenerate region,0.4850883998883766,0.5781759456312158,0.47227417243314,0.3097696380706948,0.4963775611480672,0.2371667821714048,14.579743461999897,6943.494656,label-free threshold re-selection
