dataset,display_name,method,budget,requested_clusters,full_scene_clusters,overall_accuracy,balanced_accuracy,kappa,nmi,ami,ari,homogeneity,completeness,v_measure,n_pred_clusters_labeled
salinas_a,Salinas-A,Graph-RMS,label_free_partition,,7,0.8057217651458489,0.7474972440069237,0.7576714959475428,0.8658628671449173,0.865675530215562,0.7494985720647199,0.8605943625906253,0.871196275945884,0.8658628671449173,6
indian_pines,Indian Pines,Graph-RMS,label_free_partition,,35,0.4180895697141184,0.4955754819131091,0.376222064446892,0.5884603158773851,0.5848093128291273,0.30218322914424706,0.6656540983880259,0.5273098720139284,0.5884603158773853,33
ksc,KSC,Graph-RMS,label_free_partition,,720,0.46421032431395126,0.3754820265726657,0.3893802590998807,0.6305940831371325,0.624425795045553,0.32263472281840955,0.5691178403641983,0.7069600766452685,0.6305940831371325,31
pavia_university,Pavia University,Graph-RMS,label_free_partition,,207,0.6364783991023003,0.5009343545405501,0.4916200440559356,0.6836429337225108,0.6824649661307798,0.5136556317923918,0.7040789463578437,0.664359776821204,0.6836429337225108,76
whu_hi_longkou,WHU-Hi LongKou,Graph-RMS,label_free_partition,,110,0.8109581406263751,0.5497125911408385,0.7538143116023008,0.8078669514573277,0.8077192479491161,0.8260649967194518,0.862433344348699,0.7597945434871233,0.8078669514573278,77
whu_hi_honghu,WHU-Hi HongHu,Graph-RMS,label_free_partition,,46,0.7703630528610551,0.6197677015816356,0.7141199472391251,0.7648677499572327,0.7647519251563334,0.8585813540740569,0.8225877008493487,0.714716954517526,0.7648677499572327,46
whu_hi_hanchuan,WHU-Hi HanChuan,Graph-RMS,label_free_partition,,83,0.5129887780064458,0.3828498407998426,0.44635898954013353,0.613392922012487,0.613067356351342,0.6365325393677354,0.7138378137794488,0.5377285547816726,0.613392922012487,79
botswana,Botswana,Graph-RMS,label_free_partition,,38,0.4498152709359606,0.438112344994487,0.4068054036304166,0.7166020599989423,0.7115938650811193,0.3234322867601792,0.6722781819103183,0.76718310093161,0.7166020599989424,21
trento,Trento,Graph-RMS,label_free_partition,,68,0.85331303369299,0.6773542941185876,0.8074307605830786,0.8494834984320455,0.849194214972103,0.9447463525838751,0.9635690592892252,0.7595532002216849,0.8494834984320454,41
