dataset,parameter,value,n_clusters_full,overall_accuracy,balanced_accuracy,nmi,ari
salinas_a,window_radius,3.0,13,0.6093866866118175,0.6937110798494984,0.7917366759098539,0.5696227970855862
salinas_a,window_radius,5.0,7,0.8053477935676888,0.7467251621653485,0.8639098818180042,0.7478310069816573
salinas_a,window_radius,7.0,7,0.8057217651458489,0.7474972440069237,0.8658628671449173,0.7494985720647199
salinas_a,window_radius,9.0,7,0.8169409124906507,0.7561593923351001,0.8781393283079814,0.763913554847722
salinas_a,pca_components,10.0,7,0.8085265519820494,0.7497613618741554,0.864922878074195,0.7511436038595132
salinas_a,pca_components,20.0,7,0.8057217651458489,0.7474972440069237,0.8658628671449173,0.7494985720647199
salinas_a,pca_components,30.0,7,0.8089005235602095,0.7497534111458162,0.8772329579088339,0.759951041954804
salinas_a,pca_components,40.0,7,0.8066566940912491,0.748264207869569,0.8681740261443879,0.7520825769383881
salinas_a,checkpoint,25.0,5,0.693717277486911,0.5829214721884649,0.7355352637433531,0.5398217373118124
salinas_a,checkpoint,50.0,5,0.6808152580403889,0.5795866727074249,0.7677224630595413,0.5483926245217753
salinas_a,checkpoint,100.0,7,0.8057217651458489,0.7474972440069237,0.8658628671449173,0.7494985720647199
salinas_a,checkpoint,200.0,7,0.81226626776365,0.7520491847548216,0.8770100742625182,0.7608797661856372
salinas_a,fine_radius,0.075,8,0.8068436798803291,0.7479637313054974,0.8718472197746515,0.7559839217257324
salinas_a,fine_radius,0.1125,7,0.68773373223635,0.6782782058771266,0.771343463835576,0.5506972340255212
salinas_a,fine_radius,0.15,7,0.8057217651458489,0.7474972440069237,0.8658628671449173,0.7494985720647199
salinas_a,fine_radius,0.1875,7,0.8083395661929693,0.7483558728439593,0.8647745167629146,0.7483824652456394
salinas_a,fine_radius,0.225,7,0.8100224382946896,0.7509374002765664,0.8695216104383919,0.7541063236361459
indian_pines,window_radius,3.0,87,0.4377012391452825,0.6045542365169119,0.6579492498975219,0.3407313895746757
indian_pines,window_radius,5.0,59,0.4642404136988974,0.5828081009440214,0.6321777388049876,0.4076251030916881
indian_pines,window_radius,7.0,35,0.4180895697141184,0.4955754819131091,0.5884603158773851,0.302183229144247
indian_pines,window_radius,9.0,30,0.4759488730607864,0.4693699298863436,0.5865219988262991,0.3371081113488408
indian_pines,pca_components,10.0,34,0.5677627085569323,0.5511075875074813,0.6244811839005969,0.466824130366141
indian_pines,pca_components,20.0,35,0.4180895697141184,0.4955754819131091,0.5884603158773851,0.302183229144247
indian_pines,pca_components,30.0,37,0.4283344716557713,0.6009805890221172,0.5874875138844721,0.309289720095506
indian_pines,pca_components,40.0,35,0.453605229778515,0.5312002356636629,0.5771860455278263,0.322861773869683
indian_pines,checkpoint,12.0,12,0.4118450580544443,0.4307986686215894,0.467004583210343,0.2602734350629013
indian_pines,checkpoint,25.0,14,0.5514684359449702,0.5188609889297359,0.5357796000978847,0.3943557205018518
indian_pines,checkpoint,50.0,35,0.4180895697141184,0.4955754819131091,0.5884603158773851,0.302183229144247
indian_pines,checkpoint,100.0,38,0.3681334764367255,0.4483447834480267,0.5380353692249596,0.1514804715100915
indian_pines,fine_radius,0.15,19,0.5104888281783588,0.6162191044712324,0.5807293326911721,0.3333053067052706
indian_pines,fine_radius,0.225,22,0.5465899112108499,0.582252065905464,0.6102089361022013,0.3801543553120251
indian_pines,fine_radius,0.3,35,0.4180895697141184,0.4955754819131091,0.5884603158773851,0.302183229144247
indian_pines,fine_radius,0.375,34,0.3880378573519368,0.4460288597229515,0.5115125217397102,0.1587146935721302
indian_pines,fine_radius,0.45,31,0.3965264903893062,0.4045175569859769,0.4017442247944922,0.0869947774612631
pavia_university,window_radius,3.0,308,0.6024639985038339,0.5298744288965472,0.720373642278621,0.5516813905027519
pavia_university,window_radius,5.0,118,0.6993407518234525,0.6979985964995009,0.7589389428330002,0.5930664409419466
pavia_university,window_radius,7.0,207,0.6364783991023003,0.5009343545405501,0.6836429337225108,0.5136556317923918
pavia_university,window_radius,9.0,1,0.4359687675331962,0.1111111111111111,0.0,0.0
pavia_university,pca_components,10.0,211,0.6229427716476529,0.4571142158961015,0.6755844460334266,0.5118727055471741
pavia_university,pca_components,20.0,207,0.6364783991023003,0.5009343545405501,0.6836429337225108,0.5136556317923918
pavia_university,pca_components,30.0,208,0.6092902562184402,0.4537630657484256,0.6668411919586154,0.4908676019386638
pavia_university,pca_components,40.0,221,0.6103188703946139,0.4818976392292786,0.6637055750708878,0.4847744687381175
pavia_university,checkpoint,25.0,148,0.4928464559566112,0.5277879321017378,0.6384888507988026,0.3476721546486645
pavia_university,checkpoint,50.0,152,0.6062745464746587,0.5651359657373963,0.7031939235662198,0.5047450888030669
pavia_university,checkpoint,100.0,207,0.6364783991023003,0.5009343545405501,0.6836429337225108,0.5136556317923918
pavia_university,checkpoint,200.0,1,0.4359687675331962,0.1111111111111111,0.0,0.0
pavia_university,fine_radius,0.075,235,0.3868524406209089,0.4383000121105741,0.6313062588995646,0.2601547689493485
pavia_university,fine_radius,0.1125,46,0.6695576959042454,0.8027374166143968,0.7398510330715948,0.4925731649730207
pavia_university,fine_radius,0.15,207,0.6364783991023003,0.5009343545405501,0.6836429337225108,0.5136556317923918
pavia_university,fine_radius,0.1875,46,0.6731344679259398,0.612048773001214,0.6595891388344203,0.4150431912831729
pavia_university,fine_radius,0.225,1,0.4359687675331962,0.1111111111111111,0.0,0.0
