dataset,true_K,original_full_clusters,original_OA,oracle_K_OA,delta_OA,original_BA,oracle_K_BA,delta_BA,original_NMI,oracle_K_NMI,delta_NMI,original_ARI,oracle_K_ARI,delta_ARI
salinas_a,6,7,0.8057217651458489,0.8057217651458489,0.0,0.7474972440069237,0.7474972440069237,0.0,0.8658628671449173,0.8658628671449173,0.0,0.7494985720647199,0.7494985720647199,0.0
indian_pines,16,35,0.4180895697141184,0.4554590691774807,0.0373694994633623,0.4955754819131091,0.4765926013617114,-0.0189828805513976,0.5884603158773851,0.5192989170735032,-0.0691613988038819,0.302183229144247,0.3035304467258876,0.0013472175816405
ksc,13,720,0.4642103243139512,0.3181730953751679,-0.1460372289387833,0.3754820265726657,0.1511709949929593,-0.2243110315797064,0.6305940831371325,0.3457382443503015,-0.2848558387868309,0.3226347228184095,0.1350593345792202,-0.1875753882391892
pavia_university,9,207,0.6364783991023003,0.5590985599401533,-0.0773798391621469,0.5009343545405501,0.4656722551634179,-0.0352620993771322,0.6836429337225108,0.5426730252189907,-0.1409699085035201,0.5136556317923918,0.335400807207605,-0.1782548245847868
whu_hi_longkou,9,110,0.8109581406263751,0.8851482825043268,0.0741901418779517,0.5497125911408385,0.6022459741372344,0.0525333829963958,0.8078669514573277,0.8266578982724716,0.0187909468151439,0.8260649967194518,0.836209641025721,0.0101446443062692
whu_hi_honghu,22,46,0.7703630528610551,0.7660521395525649,-0.0043109133084902,0.6197677015816356,0.5407158396618199,-0.0790518619198157,0.7648677499572327,0.7343652385563728,-0.0305025114008599,0.8585813540740569,0.8590071817103558,0.0004258276362989
whu_hi_hanchuan,16,83,0.5129887780064458,0.5566264124568011,0.0436376344503552,0.3828498407998426,0.3968512569733086,0.014001416173466,0.613392922012487,0.5587661247835929,-0.054626797228894,0.6365325393677354,0.6019294774488555,-0.0346030619188798
botswana,14,38,0.4498152709359606,0.4396551724137931,-0.0101600985221674,0.438112344994487,0.4106996539552455,-0.0274126910392414,0.7166020599989423,0.6270654302700013,-0.089536629728941,0.3234322867601792,0.26899893974898,-0.0544333470111991
trento,6,68,0.85331303369299,0.7916197789104389,-0.0616932547825511,0.6773542941185876,0.569143937805998,-0.1082103563125895,0.8494834984320453,0.7610705788829161,-0.0884129195491292,0.9447463525838752,0.7266724198255589,-0.2180739327583162
