study,dataset,variant,pca_components,k,window_radius,mutual,min_degree,use_spatial_affinity,alpha,checkpoint,fine_radius,filter_radius,prototype_threshold,prototype_neighbors,size_exponent,disable_fine_grouping,disable_consolidation,device,height,width,bands,n_nodes,directed_edge_entries,degree_min,degree_median,degree_p90,degree_max,isolated_nodes,sigma_spectral,sigma_spatial,last_movement,fine_modes_full,fine_oa,fine_balanced_accuracy,fine_nmi,fine_ari,dispersion_floor,n_clusters_full,largest_cluster_fraction_full,normalized_entropy_full,microcluster_mass_full,overall_accuracy,balanced_accuracy,nmi,ari,n_pred_clusters_labeled,load_preprocess_graph_seconds,affinity_seconds,diffusion_seconds,mode_extraction_consolidation_seconds,total_runtime_seconds,peak_process_rss_mb,peak_gpu_allocated_mb,peak_gpu_reserved_mb,perturbation,perturbation_kind,perturbation_strength,perturbation_seed,partition_ari_all_pixels_vs_frozen,partition_ari_labelled_pixels_vs_frozen,cluster_count_change_vs_frozen
perturbation,salinas_a,noise_1pct_seed1,20,20,7,True,4,True,0.5,100,0.15,3,0.75,30,0.5,False,False,cuda,83,86,204,7138,93314,4,13.0,20.0,23,0,1.7971221208572388,4.4721360206604,0.0527651831507682,47,0.731675392670157,0.7156549461621099,0.8050996997549412,0.7101806219183255,0.7728633425381732,7,0.3520594003922667,0.8977313682745729,0.0,0.8068436798803291,0.7483883081425896,0.8667622107593416,0.7506447550316,6,0.5062956240003587,0.1154550210003435,0.5025170730000355,0.4695127620002495,1.6178776839997226,1623.87968,253.323264,306.184192,noise_1pct_seed1,noise,0.01,1,0.9806144876432666,0.997829082481767,0
perturbation,salinas_a,noise_1pct_seed2,20,20,7,True,4,True,0.5,100,0.15,3,0.75,30,0.5,False,False,cuda,83,86,204,7138,93286,4,13.0,20.0,23,0,1.8036577701568604,4.4721360206604,0.0520049296319484,47,0.7068062827225131,0.7135687873178783,0.8039007706343465,0.6939864599781637,0.7986932779559339,7,0.3575231157186887,0.893760229746661,0.0,0.806282722513089,0.7478695448259857,0.8668234567059903,0.7505839850615181,6,0.5619465140002831,0.1151084849998369,0.0460967429999072,0.377431807999983,1.124528858999838,1793.236992,253.323264,306.184192,noise_1pct_seed2,noise,0.01,2,0.9927201751118968,0.9970457979591344,0
perturbation,salinas_a,pixel_replacement_5pct_seed1,20,20,7,True,4,True,0.5,100,0.15,3,0.75,30,0.5,False,False,cuda,83,86,204,7138,92820,4,13.0,19.0,22,0,1.8283549547195437,4.4721360206604,0.0545648336410522,54,0.6299551234106208,0.6552406278512323,0.7772005979847937,0.5950158027219319,1.143573078490005,8,0.3189969179041748,0.8930454944304894,0.0,0.8087135377711294,0.7492047340357034,0.8871019575446786,0.7718941020376036,7,0.5581103650001751,0.1169949410000299,0.0468597089998183,0.2258206679998693,0.9705391009997584,1802.6496,253.323264,306.184192,pixel_replacement_5pct_seed1,pixel_replace,0.05,1,0.8896799320657,0.9714099884494612,1
perturbation,salinas_a,pixel_replacement_5pct_seed2,20,20,7,True,4,True,0.5,100,0.15,3,0.75,30,0.5,False,False,cuda,83,86,204,7138,92816,4,13.0,20.0,22,0,1.8211703300476076,4.4721360206604,0.054207757115364,57,0.6761406133133882,0.657325535000589,0.7722931372316988,0.6363241848334805,1.1238821691342111,7,0.3569627346595685,0.8947609181235021,0.0,0.8109573672400897,0.7515579016416694,0.8784957985165605,0.7617071462629502,6,0.5326213210000788,0.1146343049999814,0.0465275390001806,0.2237728179998157,0.9406015949998618,1756.561408,253.323264,306.184192,pixel_replacement_5pct_seed2,pixel_replace,0.05,2,0.9618278689410094,0.9822228452166876,0
perturbation,indian_pines,noise_1pct_seed1,20,20,7,True,4,True,0.5,50,0.3,3,0.6,30,0.5,False,False,cuda,145,145,200,21025,292832,4,15.0,20.0,22,0,3.952959060668945,4.123105525970459,0.1761898398399353,125,0.3975021953361303,0.5718504111691772,0.633358503938777,0.3029484157309595,1.2300107056801235,36,0.3598097502972651,0.7626982370558546,0.0008561236623067,0.4187725631768953,0.5361016602406359,0.5899179064795562,0.2995569883876138,34,0.9222339200000532,0.2733621010002025,0.0459037719997468,0.3200941539998894,1.6011139930001264,2168.958976,716.41088,878.706688,noise_1pct_seed1,noise,0.01,1,0.9586162073960384,0.9566386899879756,1
perturbation,indian_pines,noise_1pct_seed2,20,20,7,True,4,True,0.5,50,0.3,3,0.6,30,0.5,False,False,cuda,145,145,200,21025,292722,4,15.0,20.0,22,0,3.956721305847168,4.123105525970459,0.1764556467533111,114,0.4193579861449897,0.5185524146349206,0.640919594480428,0.3103051266929135,1.2575536027355807,34,0.3987633769322235,0.7271629785558678,0.0009036860879904,0.4429700458581325,0.5243879772206629,0.5864211346292689,0.3041688133643829,32,0.9469773840000926,0.2714124310000443,0.0446013829996445,0.3175770220000231,1.6217070580000836,2216.128512,716.41088,878.706688,noise_1pct_seed2,noise,0.01,2,0.8741087741304584,0.921419145393247,-1
perturbation,indian_pines,pixel_replacement_5pct_seed1,20,20,7,True,4,True,0.5,50,0.3,3,0.6,30,0.5,False,False,cuda,145,145,200,21025,294872,4,15.0,20.0,22,0,4.04616117477417,4.4721360206604,0.1863523721694946,106,0.3831593326178164,0.4808318482872688,0.6117116611255847,0.2559750779956895,1.2756549865333544,41,0.5010701545778835,0.6409700882629273,0.0,0.3853058835008293,0.4820145381733428,0.5795189006618391,0.2542349630911971,37,0.8113386270001683,0.2723237789996346,0.0447113420000278,0.2875486439997985,1.4673916340002506,2219.569152,716.41088,878.706688,pixel_replacement_5pct_seed1,pixel_replace,0.05,1,0.5560278536499632,0.7327261215209704,6
perturbation,indian_pines,pixel_replacement_5pct_seed2,20,20,7,True,4,True,0.5,50,0.3,3,0.6,30,0.5,False,False,cuda,145,145,200,21025,294762,4,15.0,20.0,22,0,4.059484481811523,4.242640495300293,0.19515161216259,105,0.3107620255634696,0.3958085033853434,0.547175604764928,0.1352911061954415,1.162619464256435,39,0.5692271105826398,0.5758879249898816,0.0003329369797859,0.3249097472924188,0.4127271863213686,0.5107783059058704,0.1348683127488071,34,0.8314954380002746,0.2669265260001339,0.0438593120002224,0.3231598200000007,1.5057509419998496,2219.388928,716.41088,878.706688,pixel_replacement_5pct_seed2,pixel_replace,0.05,2,0.4757166404691705,0.4740701089027885,4
perturbation,pavia_university,noise_1pct_seed1,20,20,7,True,4,True,0.5,100,0.15,3,3.0,30,0.5,False,False,cuda,610,340,103,207400,2820242,4,14.0,20.0,23,0,1.3915202617645264,4.4721360206604,0.0858247131109237,701,0.5949130353469235,0.409663459905688,0.6480179334957601,0.4889967963505235,0.7435553738833719,1,1.0,0.0,0.0,0.4359687675331962,0.1111111111111111,0.0,0.0,1,6.995860310999888,1.1973113479998574,0.2757885660003012,3.411470714999723,11.970728697999675,3124.645888,6944.055808,7767.851008,noise_1pct_seed1,noise,0.01,1,0.0,0.0,-206
perturbation,pavia_university,noise_1pct_seed2,20,20,7,True,4,True,0.5,100,0.15,3,3.0,30,0.5,False,False,cuda,610,340,103,207400,2819936,4,14.0,20.0,23,0,1.3879622220993042,4.4721360206604,0.0850200206041336,708,0.6209089208902188,0.4521394545228461,0.6595253456297333,0.5111762538157655,0.7175984728085628,147,0.3902169720347155,0.646735557598416,0.0002507232401157,0.6390265569478212,0.5123196753492307,0.6873133266916619,0.5133467997967829,67,6.905005398999947,1.1986446679998153,0.276964685999701,3.380785457999991,11.875435614999788,3148.476416,6944.055808,7767.851008,noise_1pct_seed2,noise,0.01,2,0.981277041146458,0.9974036341765484,-60
