study,dataset,variant,pca_components,k,window_radius,mutual,min_degree,use_spatial_affinity,alpha,checkpoint,fine_radius,filter_radius,prototype_threshold,prototype_neighbors,size_exponent,disable_fine_grouping,disable_consolidation,device,height,width,bands,n_nodes,directed_edge_entries,degree_min,degree_median,degree_p90,degree_max,isolated_nodes,sigma_spectral,sigma_spatial,last_movement,fine_modes_full,fine_oa,fine_balanced_accuracy,fine_nmi,fine_ari,dispersion_floor,n_clusters_full,largest_cluster_fraction_full,normalized_entropy_full,microcluster_mass_full,overall_accuracy,balanced_accuracy,nmi,ari,n_pred_clusters_labeled,load_preprocess_graph_seconds,affinity_seconds,diffusion_seconds,mode_extraction_consolidation_seconds,total_runtime_seconds,peak_process_rss_mb,peak_gpu_allocated_mb,peak_gpu_reserved_mb
ablation,pavia_university,full,20,20,7,True,4,True,0.5,100,0.15,3,3.0,30,0.5,False,False,cuda,610,340,103,207400,2820104,4,14.0,20.0,23,0,1.380049705505371,4.4721360206604,0.0859176442027092,692,0.6193659996259585,0.452529445723617,0.6602410127948348,0.5116910136861955,0.7410549438027063,207,0.3919816779170684,0.6274386589478156,0.0003760848601735,0.6364783991023003,0.5009343545405501,0.6836429337225108,0.5136556317923918,76,12.283150519000005,1.2023743399999771,1.2066302220000011,3.6641433329999984,18.474650213000015,2421.49376,6944.055808,7746.879488
ablation,pavia_university,graph_no_mutual_gate,20,20,7,False,0,True,0.5,100,0.15,3,3.0,30,0.5,False,False,cuda,610,340,103,207400,5499294,20,25.0,34.0,73,0,1.627138376235962,5.0,0.0867648869752883,407,0.5478071815971572,0.4545888195986165,0.5909773089968753,0.3416234676582114,0.6212735538947614,33,0.4312729026036644,0.6391494458791137,4.821600771456123e-06,0.6125163643164391,0.6424050816023681,0.6373789116142486,0.34953389469324,17,6.799729329999991,2.2907101760000046,0.3742691199999512,3.411471120999977,12.987323978000006,2929.471488,6943.494656,7816.085504
ablation,pavia_university,graph_no_spatial_affinity,20,20,7,True,4,False,0.5,100,0.15,3,3.0,30,0.5,False,False,cuda,610,340,103,207400,2820104,4,14.0,20.0,23,0,1.380049705505371,4.4721360206604,0.0844052582979202,458,0.640242191883299,0.4783380597497436,0.664516758173892,0.5000879700736744,0.737444221771994,1,1.0,0.0,0.0,0.4359687675331962,0.1111111111111111,0.0,0.0,1,6.241969659000006,1.1911081849999618,0.2814999330000205,3.3343824840000025,11.139954608999972,2913.329152,6943.494656,7757.365248
ablation,pavia_university,diffusion_T0,20,20,7,True,4,True,0.5,0,0.15,3,3.0,30,0.5,False,False,cuda,610,340,103,207400,2820104,4,14.0,20.0,23,0,1.380049705505371,4.4721360206604,0.0,203591,0.0005844398728258,0.0007191563614275,0.2829279204532094,8.992604768188917e-06,1.4610051085754272,7336,0.0008727097396335,0.9711390803680356,0.1611909353905496,0.0129278099869085,0.0266047267234742,0.2942674322381619,0.0021799141292286,4752,6.178507748000016,1.1951625500000205,0.0760293150000279,797.29203257,804.8955205719999,2930.638848,6943.494656,7327.449088
ablation,pavia_university,mode_no_spatial_cleanup,20,20,7,True,4,True,0.5,100,0.15,0,3.0,30,0.5,False,False,cuda,610,340,103,207400,2820104,4,14.0,20.0,23,0,1.380049705505371,4.4721360206604,0.0859176442027092,11953,0.6112539741911353,0.4403759564784072,0.6406770933189649,0.5149244389646993,0.0768698748847977,2214,0.3477868852459016,0.5637377070126333,0.0307859209257473,0.6125163643164391,0.4417895303233827,0.6495400286966675,0.5156339415434267,335,6.13029002799999,1.2001100270001643,0.2766629979998924,12.781449696000209,20.50782319900009,3021.385728,6943.494656,7757.365248
ablation,pavia_university,mode_no_fine_grouping,20,20,7,True,4,True,0.5,100,0.15,0,3.0,30,0.5,True,False,cuda,610,340,103,207400,2820104,4,14.0,20.0,23,0,1.380049705505371,4.4721360206604,0.0859176442027092,207400,0.0002103983542173,0.0004476661823378,0.2821546480243244,0.0,0.001,189178,0.0001108968177434,0.9950552611797536,0.9998891031822564,0.0021974939218253,0.0050456957819489,0.2863217979924422,5.4923315058483306e-05,38215,6.12370929199983,1.2106586620000144,0.2767565340000146,213.185682413,220.96392798199983,3006.492672,669.687808,954.20416
ablation,pavia_university,consolidation_disabled,20,20,7,True,4,True,0.5,100,0.15,3,3.0,30,0.5,False,True,cuda,610,340,103,207400,2820104,4,14.0,20.0,23,0,1.380049705505371,4.4721360206604,0.0859176442027092,692,0.6193659996259585,0.452529445723617,0.6602410127948348,0.5116910136861955,0.7410549438027063,692,0.3919816779170684,0.5527645282230084,0.0079315332690453,0.6193659996259585,0.452529445723617,0.6602410127948348,0.5116910136861955,161,6.130094524000015,1.2030132540000975,0.2746571580000818,3.2251339209999514,10.95204032300012,3024.162816,6943.494656,7757.365248
ablation,pavia_university,consolidation_no_size_weighting,20,20,7,True,4,True,0.5,100,0.15,3,3.0,30,0.0,False,False,cuda,610,340,103,207400,2820104,4,14.0,20.0,23,0,1.380049705505371,4.4721360206604,0.0859176442027092,692,0.6193659996259585,0.452529445723617,0.6602410127948348,0.5116910136861955,0.7410549438027063,213,0.5505930568948891,0.447689691764762,0.0019189971070395,0.5547737048812418,0.547738110223297,0.5156899731242593,0.2412888159329232,58,6.151758556999994,1.2038106930001504,0.2786712879999413,3.63939841499996,11.384714713999983,2984.349696,6943.494656,7757.365248
