dataset,rule,selected_threshold,selected_clusters_full,candidate_settings,OA_selected,OA_oracle,OA_oracle_gap,OA_rank,BA_selected,BA_oracle,BA_oracle_gap,BA_rank,NMI_selected,NMI_oracle,NMI_oracle_gap,NMI_rank,ARI_selected,ARI_oracle,ARI_oracle_gap,ARI_rank
salinas_a,frozen_full_selector,0.75,7,16,0.8057217651458489,0.8057217651458489,0.0,1,0.7474972440069237,0.8242854421475809,0.0767881981406571,6,0.8658628671449173,0.8921525436739373,0.0262896765290199,2,0.7494985720647199,0.7977012046888425,0.0482026326241226,4
salinas_a,without_persistence,0.75,7,16,0.8057217651458489,0.8057217651458489,0.0,1,0.7474972440069237,0.8242854421475809,0.0767881981406571,6,0.8658628671449173,0.8921525436739373,0.0262896765290199,2,0.7494985720647199,0.7977012046888425,0.0482026326241226,4
salinas_a,without_largest_cluster_gate,0.75,7,16,0.8057217651458489,0.8057217651458489,0.0,1,0.7474972440069237,0.8242854421475809,0.0767881981406571,6,0.8658628671449173,0.8921525436739373,0.0262896765290199,2,0.7494985720647199,0.7977012046888425,0.0482026326241226,4
salinas_a,without_entropy_gate,0.75,7,16,0.8057217651458489,0.8057217651458489,0.0,1,0.7474972440069237,0.8242854421475809,0.0767881981406571,6,0.8658628671449173,0.8921525436739373,0.0262896765290199,2,0.7494985720647199,0.7977012046888425,0.0482026326241226,4
salinas_a,without_compression_band,0.75,7,16,0.8057217651458489,0.8057217651458489,0.0,1,0.7474972440069237,0.8242854421475809,0.0767881981406571,6,0.8658628671449173,0.8921525436739373,0.0262896765290199,2,0.7494985720647199,0.7977012046888425,0.0482026326241226,4
salinas_a,stability_only,0.05,51,16,0.7131637995512341,0.8057217651458489,0.0925579655946148,12,0.7014193929308216,0.8242854421475809,0.1228660492167593,12,0.792787880619529,0.8921525436739373,0.0993646630544082,14,0.6810034277425205,0.7977012046888425,0.116697776946322,14
indian_pines,frozen_full_selector,0.6,35,16,0.4180895697141184,0.4491169870231242,0.0310274173090057,4,0.4955754819131091,0.5229080130268204,0.0273325311137113,13,0.5884603158773851,0.6311189111840291,0.0426585953066439,13,0.302183229144247,0.3036106896179765,0.0014274604737294,11
indian_pines,without_persistence,0.6,35,16,0.4180895697141184,0.4491169870231242,0.0310274173090057,4,0.4955754819131091,0.5229080130268204,0.0273325311137113,13,0.5884603158773851,0.6311189111840291,0.0426585953066439,13,0.302183229144247,0.3036106896179765,0.0014274604737294,11
indian_pines,without_largest_cluster_gate,0.75,10,16,0.4449214557517806,0.4491169870231242,0.0041955312713435,2,0.3343176351967342,0.5229080130268204,0.1885903778300862,16,0.4713133085663684,0.6311189111840291,0.1598056026176607,16,0.2637721865430266,0.3036106896179765,0.0398385030749499,16
indian_pines,without_entropy_gate,0.6,35,16,0.4180895697141184,0.4491169870231242,0.0310274173090057,4,0.4955754819131091,0.5229080130268204,0.0273325311137113,13,0.5884603158773851,0.6311189111840291,0.0426585953066439,13,0.302183229144247,0.3036106896179765,0.0014274604737294,11
indian_pines,without_compression_band,0.6,35,16,0.4180895697141184,0.4491169870231242,0.0310274173090057,4,0.4955754819131091,0.5229080130268204,0.0273325311137113,13,0.5884603158773851,0.6311189111840291,0.0426585953066439,13,0.302183229144247,0.3036106896179765,0.0014274604737294,11
indian_pines,stability_only,0.05,121,16,0.3965264903893062,0.4491169870231242,0.0525904966338179,9,0.5089433569537044,0.5229080130268204,0.013964656073116,5,0.6304274167198655,0.6311189111840291,0.0006914944641636,5,0.3027559180925943,0.3036106896179765,0.0008547715253822,8
ksc,frozen_full_selector,3.0,720,20,0.4642103243139512,0.4713106889272692,0.0071003646133179,19,0.3754820265726657,0.3886399385307754,0.0131579119581096,19,0.6305940831371325,0.6369989583177865,0.006404875180654,20,0.3226347228184095,0.3226347228184095,0.0,1
ksc,without_persistence,3.0,720,20,0.4642103243139512,0.4713106889272692,0.0071003646133179,19,0.3754820265726657,0.3886399385307754,0.0131579119581096,19,0.6305940831371325,0.6369989583177865,0.006404875180654,20,0.3226347228184095,0.3226347228184095,0.0,1
ksc,without_largest_cluster_gate,3.0,720,20,0.4642103243139512,0.4713106889272692,0.0071003646133179,19,0.3754820265726657,0.3886399385307754,0.0131579119581096,19,0.6305940831371325,0.6369989583177865,0.006404875180654,20,0.3226347228184095,0.3226347228184095,0.0,1
ksc,without_entropy_gate,3.0,720,20,0.4642103243139512,0.4713106889272692,0.0071003646133179,19,0.3754820265726657,0.3886399385307754,0.0131579119581096,19,0.6305940831371325,0.6369989583177865,0.006404875180654,20,0.3226347228184095,0.3226347228184095,0.0,1
ksc,without_compression_band,3.0,720,20,0.4642103243139512,0.4713106889272692,0.0071003646133179,19,0.3754820265726657,0.3886399385307754,0.0131579119581096,19,0.6305940831371325,0.6369989583177865,0.006404875180654,20,0.3226347228184095,0.3226347228184095,0.0,1
ksc,stability_only,0.05,3606,20,0.4667050470159278,0.4713106889272692,0.0046056419113413,12,0.3831871852782423,0.3886399385307754,0.005452753252533,12,0.6320853264914402,0.6369989583177865,0.0049136318263462,18,0.3197504841692431,0.3226347228184095,0.0028842386491664,19
pavia_university,frozen_full_selector,3.0,207,20,0.6364783991023003,0.6364783991023003,0.0,1,0.5009343545405501,0.5009343545405501,0.0,1,0.6836429337225108,0.6836429337225108,0.0,1,0.5136556317923918,0.5136556317923918,0.0,1
pavia_university,without_persistence,3.0,207,20,0.6364783991023003,0.6364783991023003,0.0,1,0.5009343545405501,0.5009343545405501,0.0,1,0.6836429337225108,0.6836429337225108,0.0,1,0.5136556317923918,0.5136556317923918,0.0,1
pavia_university,without_largest_cluster_gate,3.0,207,20,0.6364783991023003,0.6364783991023003,0.0,1,0.5009343545405501,0.5009343545405501,0.0,1,0.6836429337225108,0.6836429337225108,0.0,1,0.5136556317923918,0.5136556317923918,0.0,1
pavia_university,without_entropy_gate,3.0,207,20,0.6364783991023003,0.6364783991023003,0.0,1,0.5009343545405501,0.5009343545405501,0.0,1,0.6836429337225108,0.6836429337225108,0.0,1,0.5136556317923918,0.5136556317923918,0.0,1
pavia_university,without_compression_band,3.0,207,20,0.6364783991023003,0.6364783991023003,0.0,1,0.5009343545405501,0.5009343545405501,0.0,1,0.6836429337225108,0.6836429337225108,0.0,1,0.5136556317923918,0.5136556317923918,0.0,1
pavia_university,stability_only,2.0,207,20,0.6364783991023003,0.6364783991023003,0.0,1,0.5009343545405501,0.5009343545405501,0.0,1,0.6836429337225108,0.6836429337225108,0.0,1,0.5136556317923918,0.5136556317923918,0.0,1
whu_hi_longkou,frozen_full_selector,0.5,110,12,0.8109581406263751,0.8109581406263751,0.0,1,0.5497125911408385,0.5891027534761741,0.0393901623353356,7,0.8078669514573277,0.8078669514573277,0.0,1,0.8260649967194518,0.8260649967194518,0.0,1
whu_hi_longkou,without_persistence,0.5,110,12,0.8109581406263751,0.8109581406263751,0.0,1,0.5497125911408385,0.5891027534761741,0.0393901623353356,7,0.8078669514573277,0.8078669514573277,0.0,1,0.8260649967194518,0.8260649967194518,0.0,1
whu_hi_longkou,without_largest_cluster_gate,0.5,110,12,0.8109581406263751,0.8109581406263751,0.0,1,0.5497125911408385,0.5891027534761741,0.0393901623353356,7,0.8078669514573277,0.8078669514573277,0.0,1,0.8260649967194518,0.8260649967194518,0.0,1
whu_hi_longkou,without_entropy_gate,0.5,110,12,0.8109581406263751,0.8109581406263751,0.0,1,0.5497125911408385,0.5891027534761741,0.0393901623353356,7,0.8078669514573277,0.8078669514573277,0.0,1,0.8260649967194518,0.8260649967194518,0.0,1
whu_hi_longkou,without_compression_band,0.5,110,12,0.8109581406263751,0.8109581406263751,0.0,1,0.5497125911408385,0.5891027534761741,0.0393901623353356,7,0.8078669514573277,0.8078669514573277,0.0,1,0.8260649967194518,0.8260649967194518,0.0,1
whu_hi_longkou,stability_only,3.0,2,12,0.3278348701000284,0.8109581406263751,0.4831232705263467,11,0.1111111111111111,0.5891027534761741,0.477991642365063,11,0.0,0.8078669514573277,0.8078669514573277,11,0.0,0.8260649967194518,0.8260649967194518,11
whu_hi_honghu,frozen_full_selector,0.75,46,20,0.7703630528610551,0.7703630528610551,0.0,1,0.6197677015816356,0.6197677015816356,0.0,1,0.7648677499572327,0.7669273171176934,0.0020595671604606,4,0.8585813540740569,0.859603230023584,0.001021875949527,3
whu_hi_honghu,without_persistence,0.7,49,20,0.7698587768591622,0.7703630528610551,0.0005042760018929,2,0.6175379712936325,0.6197677015816356,0.0022297302880031,2,0.7665424655564209,0.7669273171176934,0.0003848515612724,2,0.8595826959910808,0.859603230023584,2.05340325031278e-05,2
whu_hi_honghu,without_largest_cluster_gate,1.0,6,20,0.650358294564422,0.7703630528610551,0.1200047582966331,17,0.2153035676108917,0.6197677015816356,0.4044641339707439,17,0.607587310725093,0.7669273171176934,0.1593400063926003,17,0.6072934910359934,0.859603230023584,0.2523097389875905,17
