dataset,display_name,graph_OA,best_baseline_OA,best_baseline_OA_method,delta_OA,graph_BA,best_baseline_BA,best_baseline_BA_method,delta_BA,graph_NMI,best_baseline_NMI,best_baseline_NMI_method,delta_NMI,graph_ARI,best_baseline_ARI,best_baseline_ARI_method,delta_ARI
salinas_a,Salinas-A,0.8057217651458489,0.8409872849663426,FCM,-0.03526551982049364,0.7474972440069237,0.8798441713438307,SLIC-KMeans,-0.132346927336907,0.8658628671449173,0.8523202397079419,SLIC-KMeans,0.01354262743697543,0.7494985720647199,0.7707628282785495,SLIC-KMeans,-0.021264256213829547
indian_pines,Indian Pines,0.4180895697141184,0.4044297004585813,SLIC-KMeans,0.013659869255537138,0.4955754819131091,0.4076469459761017,PCA-KMeans,0.08792853593700739,0.5884603158773851,0.481397879185699,SLIC-KMeans,0.10706243669168614,0.302183229144247,0.2306861268941498,SLIC-KMeans,0.0714971022500972
ksc,KSC,0.4642103243139512,0.5243523316062176,FCM,-0.06014200729226643,0.3754820265726657,0.4094133652470909,FCM,-0.03393133867442516,0.6305940831371325,0.5752150312336327,FCM,0.05537905190349979,0.3226347228184095,0.440373939936611,FCM,-0.11773921711820151
pavia_university,Pavia University,0.6364783991023003,0.5654619412754817,PCA-KMeans,0.07101645782681865,0.5009343545405501,0.5679203455911241,PCA-KMeans,-0.06698599105057401,0.6836429337225108,0.5565832288255244,PCA-KMeans,0.12705970489698648,0.5136556317923918,0.3560497976377451,PCA-KMeans,0.15760583415464674
whu_hi_longkou,WHU-Hi LongKou,0.8109581406263751,0.7478786752842936,SLIC-KMeans,0.06307946534208142,0.5497125911408385,0.5807211304152438,SLIC-KMeans,-0.031008539274405278,0.8078669514573277,0.713297865523349,SLIC-KMeans,0.09456908593397872,0.8260649967194518,0.744598853742566,SLIC-KMeans,0.08146614297688581
whu_hi_honghu,WHU-Hi HongHu,0.7703630528610551,0.3522629062331099,SLIC-KMeans,0.4181001466279452,0.6197677015816356,0.3887748890241582,SLIC-KMeans,0.23099281255747744,0.7648677499572327,0.5057971749784178,SLIC-KMeans,0.2590705749788149,0.8585813540740569,0.2376863425667838,SLIC-KMeans,0.6208950115072731
whu_hi_hanchuan,WHU-Hi HanChuan,0.5129887780064458,0.438391643691997,SLIC-KMeans,0.07459713431444881,0.3828498407998426,0.3306190900275542,FCM,0.05223075077228839,0.613392922012487,0.436612344241788,FCM,0.17678057777069894,0.6365325393677354,0.3927367299051396,FCM,0.24379580946259577
botswana,Botswana,0.4498152709359606,0.6205665024630542,SLIC-KMeans,-0.17075123152709365,0.438112344994487,0.629245879132357,SLIC-KMeans,-0.19113353413787,0.7166020599989423,0.7092279491233859,SLIC-KMeans,0.0073741108755563944,0.3234322867601792,0.504275963264727,SLIC-KMeans,-0.1808436765045478
trento,Trento,0.85331303369299,0.7815515985966771,SLIC-KMeans,0.07176143509631294,0.6773542941185876,0.5866882529300711,SLIC-KMeans,0.09066604118851651,0.8494834984320455,0.6334484329858863,SLIC-KMeans,0.21603506544615925,0.9447463525838752,0.6829534505253625,SLIC-KMeans,0.2617929020585127
