dataset,method,seed,uses_true_k,uses_labels_for_selection,selected_resolution,runtime_seconds,peak_rss_mb,overall_accuracy,balanced_accuracy,kappa,nmi,ami,ari,homogeneity,completeness,v_measure,n_pred_clusters,tiny_cluster_pixel_fraction,n_clusters_full,n_clusters_labeled,preprocessing,implementation,min_cluster_size,min_samples,cluster_selection_method,noise_fraction_full,noise_fraction_labeled,n_clusters_full_excluding_noise,n_clusters_labeled_excluding_noise
botswana,Leiden,4,False,False,1.0,31.3804477220001,1534.32064,0.4482758620689655,0.43795255205246997,0.42124854415135393,0.7555632524547149,0.747597720954492,0.4783754333963399,0.8609604798990715,0.6731566328743873,0.7555632524547149,48,0.020935960591133004,169,48,,,,,,,,,
salinas_a,HDBSCAN,,False,False,,1.9093382569999449,254.640128,0.4214659685863874,0.44197563336630513,0.3223970093710845,0.5230856748105446,0.5107932397340236,0.23448301680007763,0.693381818680076,0.4199459894228779,0.5230856748105446,111,0.14304412864622287,126,111,per-band StandardScaler then randomized PCA-20,sklearn.cluster.HDBSCAN,5,,eom,0.3789576912300364,0.34966342557965596,125,110
whu_hi_honghu,HDBSCAN,,False,False,,4172.043121081999,2009.071616,0.42395129986837105,0.04951771666521312,0.0048270771187012285,0.006408962299900254,0.0062815970552061,0.002573587523150149,0.0032332950569728632,0.35958445531599287,0.006408962299900253,8,0.002741192625674631,9,8,per-band StandardScaler then randomized PCA-20,sklearn.cluster.HDBSCAN,5,,eom,0.0025263157894736842,0.0025136219171280577,8,7
ksc,HDBSCAN,,False,False,,1873.5815304070002,1316.724736,0.1356745346382652,0.08129864072500623,0.03394913131402433,0.2855640011170095,0.1049159814843575,-0.003950189297817348,0.2946603605393613,0.2770124444878341,0.2855640011170095,862,0.27998464786029553,6650,862,per-band StandardScaler then randomized PCA-20,sklearn.cluster.HDBSCAN,5,,eom,0.7000203583061889,0.6925734024179621,6649,861
pavia_university,HDBSCAN,,False,False,,880.0035077940001,768.724992,0.4360389003179353,0.11120039425898093,0.00017782376625152807,0.00022378155675213042,9.26969776825252e-05,7.576582586525058e-05,0.00011195631282873545,0.19114951717922307,0.0002237815567521304,3,9.35103796521414e-05,4,3,per-band StandardScaler then randomized PCA-20,sklearn.cluster.HDBSCAN,5,,eom,0.0006991321118611379,4.67551898260707e-05,3,2
indian_pines,HDBSCAN,,False,False,,9.127460800000335,326.746112,0.24099912186554787,0.07271710401126341,0.002834943026667869,0.006116091099494574,0.005325902587615672,0.0012016710380113843,0.0030856490861302,0.3418422670568902,0.006116091099494575,3,0.0030246853351546493,3,3,per-band StandardScaler then randomized PCA-20,sklearn.cluster.HDBSCAN,5,,eom,0.006373365041617123,0.002927114840472241,2,2
whu_hi_longkou,HDBSCAN,,False,False,,950.9637948129994,1189.02784,0.32826998855980677,0.11254103938669144,0.0010262082907047665,0.003236289238917703,0.0030604861397058158,0.0009797348976055566,0.001627032569696542,0.2962183549559318,0.0032362892389177036,9,0.00098268326309511,10,9,per-band StandardScaler then randomized PCA-20,sklearn.cluster.HDBSCAN,5,,eom,0.0007727272727272727,0.000576898632065786,9,8
whu_hi_hanchuan,HDBSCAN,,False,False,,2658.2947740830004,1785.143296,0.29382596202384187,0.07590181444269063,0.0022365293877818493,0.009903514178558835,0.009724891550720371,0.0013946947438285308,0.004990811094324272,0.6327976910227525,0.009903514178558835,9,0.00215508872752689,9,9,per-band StandardScaler then randomized PCA-20,sklearn.cluster.HDBSCAN,5,,eom,0.0007783029740936296,0.0009319302605521687,8,8
trento,HDBSCAN,,False,False,,229.55240200499975,588.320768,0.40153571192162574,0.27357198497104973,0.12628202861574656,0.20240597994045953,0.1973889628083629,0.09774528966626282,0.13808969365303486,0.3788652410346641,0.20240597994045953,91,0.01628384192758324,168,91,per-band StandardScaler then randomized PCA-20,sklearn.cluster.HDBSCAN,5,,eom,0.923925702811245,0.870192625934997,167,90
botswana,HDBSCAN,,False,False,,3098.8595268789995,1468.489728,0.10868226600985222,0.10075187969924812,0.0145576332179016,0.04070217713671816,0.0365330603528321,0.00400190232439349,0.02115508485686322,0.5354863097616854,0.04070217713671815,4,0.003078817733990148,16,4,per-band StandardScaler then randomized PCA-20,sklearn.cluster.HDBSCAN,5,,eom,0.0035595570799457996,0.01539408866995074,15,3
