prototype_threshold,n_clusters_full,largest_cluster_fraction_full,normalized_entropy_full,microcluster_mass_full,adjacent_partition_ari_label_free,overall_accuracy,balanced_accuracy,kappa,nmi,ari,n_pred_clusters_labeled
0.0,3841,0.2667545308351706,0.6439694324077274,0.03715786533460248,,0.42851706597289635,0.2669247651041762,0.3548980393547416,0.5681139314485899,0.6232455577927407,3101
0.05,3770,0.2667545308351706,0.645270995687221,0.03671040892092496,0.999999569474799,0.42851706597289635,0.2669247651041762,0.3548980393547416,0.5682144916606463,0.623246040265268,3052
0.1,3506,0.2667545308351706,0.6501748264716735,0.03447855056664253,0.9999964552603874,0.42851706597289635,0.2669247651041762,0.3548980393547416,0.5687382794321743,0.6232491238122019,2863
0.15,3101,0.2667545308351706,0.6581770233446961,0.028355177341891954,0.9999850661081789,0.42854036422941016,0.2669469400199115,0.354923224875375,0.5698870478196453,0.6232650242878314,2576
0.2,2634,0.2667545308351706,0.6678683398951228,0.019631133203706568,0.9999644295717882,0.42854036422941016,0.2669469400199115,0.354923224875375,0.5719770680629817,0.6232950734010128,2246
0.25,2133,0.2667545308351706,0.6795463602015788,0.010562683219842117,0.9999073835769646,0.4288548906923465,0.26990243536127,0.35527363493731645,0.5752984610475718,0.6233534773426981,1865
0.3,1747,0.2667545308351706,0.6899956993097504,0.005000664404977885,0.9998660928158749,0.42954995534500834,0.2767630644855217,0.3560539372591557,0.578588306031667,0.6234494365050611,1562
0.35,1408,0.2667545308351706,0.7000610637095604,0.001968808220181098,0.9997648834002053,0.4296858618413389,0.2769358086545375,0.3562005260707549,0.5827267943729155,0.6235979167704043,1279
0.4,1038,0.2667545308351706,0.7137525038457091,0.0007837266881988116,0.9994800315262862,0.43018677435638564,0.2810604133187635,0.35675549594657485,0.5884343610580864,0.6238758467419888,959
0.45,778,0.2667545308351706,0.7252151934279314,0.0005125409829397073,0.9992190415776132,0.43110705548868095,0.2907206753140464,0.3577859309705187,0.5943314590315214,0.624247399905612,729
0.5,453,0.2669714793993779,0.7469422085139631,0.00023050784947023872,0.9966971727473355,0.4331922494466664,0.30225063502205674,0.360047791997106,0.6017334528853608,0.6253581588593854,433
0.55,374,0.2669714793993779,0.752489726591249,0.00023050784947023872,0.997787889748731,0.43454354832446707,0.3041298702877939,0.361429079951455,0.6065976265802497,0.625923365634966,357
0.6,338,0.2669714793993779,0.7537513194845569,0.00023050784947023872,0.9986576221513241,0.4358404846037355,0.30661742309600115,0.3628459851797292,0.6092087797161551,0.6264354952761197,323
0.65,309,0.2669714793993779,0.7542464124359042,0.00023050784947023872,0.9985597914397291,0.4397002290995224,0.31258877957093084,0.36709142714482734,0.6128827387600864,0.6273097535448249,294
0.7,264,0.2669714793993779,0.7546300963340314,0.00023050784947023872,0.9962825253176726,0.44687609210577406,0.3224455303102488,0.3749030968204323,0.6193471367364908,0.6298306891542514,250
0.75,251,0.2669714793993779,0.7537093516345442,0.0002277959924176477,0.9984731853374921,0.4487554847978876,0.3257071807207047,0.37689607295956173,0.6199354785308562,0.6301504748412922,238
1.0,94,0.2669714793993779,0.751145686256678,0.00018982999368137308,0.9436257113201186,0.49951850269871473,0.41146379334544714,0.4330529652001607,0.6183040034017387,0.6383645056795367,90
1.5,83,0.2669714793993779,0.7289362097539112,0.00018982999368137308,0.9652060500251058,0.5129887780064458,0.3828498407998426,0.44635898954013353,0.613392922012487,0.6365325393677354,79
2.0,83,0.2669714793993779,0.7289362097539112,0.00018982999368137308,1.0,0.5129887780064458,0.3828498407998426,0.44635898954013353,0.613392922012487,0.6365325393677354,79
3.0,83,0.2669714793993779,0.7289362097539112,0.00018982999368137308,1.0,0.5129887780064458,0.3828498407998426,0.44635898954013353,0.613392922012487,0.6365325393677354,79
