metric,datasets,methods,friedman_statistic,pvalue
OA,9,5,8.888888888888886,0.0639375327104497
BA,9,5,3.1111111111111143,0.5394064465772301
NMI,9,5,21.95555555555555,0.0002045445625093
ARI,9,5,9.688888888888895,0.046007405697048
