ari_mean,ari_std,balanced_accuracy_mean,balanced_accuracy_std,dataset,dataset_display,fidelity,method,n_clusters_full,n_repeats,nmi_mean,nmi_std,overall_accuracy_mean,overall_accuracy_std,peak_host_memory_mb_mean,runtime_seconds_external_mean,uses_true_k
0.7494985720647199,0.0,0.7474972440069237,0.0,salinas_a,Salinas-A,,Graph-RMS,7.0,1,0.8658628671449173,0.0,0.8057217651458489,0.0,,,False
0.6911912563204199,0.0001520280214241,0.7542865565997122,0.0002285033614956,salinas_a,Salinas-A,,PCA-KMeans,,5,0.7695265956682595,0.0001111810363435,0.7704188481675394,0.000204832669224,,,True
0.7075873240124284,0.0754654830467129,0.8370363304714932,0.0683194578366149,salinas_a,Salinas-A,,MiniBatch-KMeans,,5,0.7861905236315737,0.0424777698194995,0.800149588631264,0.0567640321028824,,,True
0.7297599778216002,0.0130403899763485,0.8682545009057311,0.0048313879746851,salinas_a,Salinas-A,,FCM,,5,0.7827509645275461,0.0199827087851721,0.8409872849663426,0.008111390943062,,,True
0.7707628282785495,0.0,0.8798441713438307,1.2412670766236366e-16,salinas_a,Salinas-A,,SLIC-KMeans,,5,0.8523202397079419,0.0,0.8266641735228124,1.2412670766236366e-16,,,True
0.5135901979362584,0.0,0.6446098273354581,0.0,salinas_a,Salinas-A,matched-superpixel-adaptation+declared-dependency-fill,DLSS,,1,0.6854192729778098,0.0,0.6303290949887809,0.0,90.226688,0.2808553519998895,True
0.1679440653326618,0.0,0.3270804837235588,0.0,salinas_a,Salinas-A,official-superpixel+declared-octave-and-propagation-shims,S2DL,,1,0.3136530267439736,0.0,0.462602842183994,0.0,97.562624,0.5243656689999625,True
0.302183229144247,0.0,0.4955754819131091,0.0,indian_pines,Indian Pines,,Graph-RMS,35.0,1,0.5884603158773851,0.0,0.4180895697141184,0.0,,,False
0.2257956516694766,0.0030083006916348,0.4076469459761017,0.0212137683597347,indian_pines,Indian Pines,,PCA-KMeans,,5,0.4469942534813366,0.0020208516873304,0.3744950726900186,0.0095841346934627,,,True
0.2128597352895063,0.0050968233163618,0.3649410089519594,0.0430268045720647,indian_pines,Indian Pines,,MiniBatch-KMeans,,5,0.4314132745421764,0.0091608093554276,0.3607961752366084,0.0115431297337651,,,True
0.1825852862328109,3.8272432698863314e-05,0.3315037733532257,3.828883523117459e-05,indian_pines,Indian Pines,,FCM,,5,0.4060474952586279,8.350178685131425e-05,0.3181578690603961,4.3634851741649306e-05,,,True
0.2306861268941498,0.0143470194481516,0.3953821056965741,0.0367554917922067,indian_pines,Indian Pines,,SLIC-KMeans,,5,0.481397879185699,0.0167015789701331,0.4044297004585813,0.0236077250887547,,,True
0.2433631880943811,0.0,0.3021158793222159,0.0,indian_pines,Indian Pines,matched-superpixel-adaptation+declared-dependency-fill,DLSS,,1,0.5416164371163689,0.0,0.4368231046931408,0.0,89.051136,0.3132933540000522,True
0.2028804577739838,0.0,0.3384166162213456,0.0,indian_pines,Indian Pines,official-superpixel+declared-octave-and-propagation-shims,S2DL,,1,0.4527136627804508,0.0,0.3712557322665626,0.0,102.576128,1.0039811009999084,True
0.3226347228184095,0.0,0.3754820265726657,0.0,ksc,KSC,,Graph-RMS,720.0,1,0.6305940831371325,0.0,0.4642103243139512,0.0,,,False
0.2543775091970691,9.896319734827837e-05,0.2544094307597481,5.054416222640804e-05,ksc,KSC,,PCA-KMeans,,5,0.4743445265820705,0.0001675856616803,0.4150067165611207,0.0001051089152763,,,True
0.3676789407413972,0.0487128715105695,0.3649090449713362,0.0239768901587584,ksc,KSC,,MiniBatch-KMeans,,5,0.5334817883286799,0.031817105219044,0.4695068125119938,0.0495529549902929,,,True
0.440373939936611,0.0193230506642026,0.4094133652470909,0.0140527797109771,ksc,KSC,,FCM,,5,0.5752150312336327,0.0071021970989316,0.5243523316062176,0.0200803881979365,,,True
0.3226097072957905,0.0072487805490469,0.3251296052110802,0.0064011058265809,ksc,KSC,,SLIC-KMeans,,5,0.5481609248797786,0.0043171776211013,0.4138936864325465,0.0121523968417511,,,True
0.0030585039091567,0.0,0.0998566650740563,0.0,ksc,KSC,matched-superpixel-adaptation+declared-dependency-fill,DLSS,,1,0.0256892808183766,0.0,0.1871042026482441,0.0,626.786304,9.930158861999985,True
0.0841491490143713,0.0,0.1960279477237477,0.0,ksc,KSC,official-superpixel+declared-octave-and-propagation-shims,S2DL,,1,0.223529807999202,0.0,0.1838418729610439,0.0,280.39168,96.74786653699994,True
0.5136556317923918,0.0,0.5009343545405501,0.0,pavia_university,Pavia University,,Graph-RMS,207.0,1,0.6836429337225108,0.0,0.6364783991023003,0.0,,,False
0.3560497976377451,0.0002097466301391,0.5679203455911241,6.472535913118429e-05,pavia_university,Pavia University,,PCA-KMeans,,5,0.5565832288255244,3.942165461376327e-05,0.5654619412754817,0.0004817713384812,,,True
0.3386600651707809,0.0377888358308253,0.5517986099793771,0.0205148940547637,pavia_university,Pavia University,,MiniBatch-KMeans,,5,0.5460182344038558,0.0156370272443266,0.5530250607817468,0.0358749565919124,,,True
0.3065723253508211,0.0,0.5445504100524019,0.0,pavia_university,Pavia University,,FCM,,5,0.5348420093975964,5.551115123125783e-17,0.5183981671965588,0.0,,,True
0.283662516390717,0.0017362840765111,0.4771647567012128,0.0024235595553925,pavia_university,Pavia University,,SLIC-KMeans,,5,0.4802596462212087,0.0017478203867688,0.480806994576398,0.0012338188764091,,,True
0.0063061559264257,0.0,0.1229244114002478,0.0,pavia_university,Pavia University,matched-superpixel-adaptation+declared-dependency-fill,DLSS,,1,0.021591698613666,0.0,0.4393117636057602,0.0,187.342848,1.2329524570000103,True
-0.0215704759544849,0.0,0.1974218459335571,0.0,pavia_university,Pavia University,official-superpixel+declared-octave-and-propagation-shims,S2DL,,1,0.1394971294599647,0.0,0.284365064522162,0.0,205.930496,32.78595249700015,True
0.8260649967194518,0.0,0.5497125911408385,0.0,whu_hi_longkou,WHU-Hi LongKou,,Graph-RMS,110.0,1,0.8078669514573277,0.0,0.8109581406263751,0.0,,,False
0.6931498668892561,0.0001220355866653,0.5086199609786399,0.0001615738922069,whu_hi_longkou,WHU-Hi LongKou,,PCA-KMeans,,5,0.6527748297654876,3.3486774938105254e-05,0.6986907334434982,0.0002155199249746,,,True
0.6911978145437208,0.0172411416759403,0.5454438045008835,0.018565098650869,whu_hi_longkou,WHU-Hi LongKou,,MiniBatch-KMeans,,5,0.6512227301089085,0.0087756751814205,0.6960526444446618,0.0257414443056855,,,True
0.5929760172695403,0.1141565358044064,0.510121419444489,0.0592537681200249,whu_hi_longkou,WHU-Hi LongKou,,FCM,,5,0.6237939666233467,0.0275077018525669,0.6094621153601705,0.0876204559278549,,,True
0.744598853742566,0.000141333745354,0.5807211304152438,0.0046966638074879,whu_hi_longkou,WHU-Hi LongKou,,SLIC-KMeans,,5,0.713297865523349,0.0002390612102411,0.7478786752842936,0.0004282471100143,,,True
0.0425817079167765,0.0,0.1860380085646166,0.0,whu_hi_longkou,WHU-Hi LongKou,matched-superpixel-adaptation+declared-dependency-fill,DLSS,,1,0.1166976541316014,0.0,0.3465694087277918,0.0,232.390656,1.9449514819998512,True
-0.0033047727477398,0.0,0.1328868293458837,0.0,whu_hi_longkou,WHU-Hi LongKou,official-superpixel+declared-octave-and-propagation-shims,S2DL,,1,0.0242788449926074,0.0,0.209326201953633,0.0,216.86272,46.78569838599992,True
0.8585813540740569,0.0,0.6197677015816356,0.0,whu_hi_honghu,WHU-Hi HongHu,,Graph-RMS,46.0,1,0.7648677499572327,0.0,0.7703630528610551,0.0,,,False
0.2124348032813055,0.0013310125239997,0.3448599489177422,0.0027925227621291,whu_hi_honghu,WHU-Hi HongHu,,PCA-KMeans,,5,0.4443174268753669,0.0009413558351929,0.3414155415277752,0.0031380846844375,,,True
0.2083536646012017,0.0173786445192929,0.3329052099325769,0.0175649428094942,whu_hi_honghu,WHU-Hi HongHu,,MiniBatch-KMeans,,5,0.4378002367464779,0.0066502644086915,0.3259702140974881,0.0148993023365536,,,True
0.1660127183896393,0.0018543002780409,0.3157004267625636,0.0148442278503162,whu_hi_honghu,WHU-Hi HongHu,,FCM,,5,0.4207295871056075,0.0020695745508711,0.27815553940723,0.0048195751627923,,,True
0.2376863425667838,0.0075324994001157,0.3887748890241582,0.0150922714400608,whu_hi_honghu,WHU-Hi HongHu,,SLIC-KMeans,,5,0.5057971749784178,0.0032849187674824,0.3522629062331099,0.0049548122298995,,,True
0.0296690252671869,0.0,0.0986133356806936,0.0,whu_hi_honghu,WHU-Hi HongHu,matched-superpixel-adaptation+declared-dependency-fill,DLSS,,1,0.1058595706433431,0.0,0.4375227893962394,0.0,1168.027648,21.741899170000124,True
0.1231503018998801,0.0,0.156047285717559,0.0,whu_hi_honghu,WHU-Hi HongHu,official-superpixel+declared-octave-and-propagation-shims,S2DL,,1,0.2180049087025118,0.0,0.1967012591383862,0.0,351.813632,166.336888477,True
0.6365325393677354,0.0,0.3828498407998426,0.0,whu_hi_hanchuan,WHU-Hi HanChuan,,Graph-RMS,83.0,1,0.613392922012487,0.0,0.5129887780064458,0.0,,,False
0.334938902237797,0.0003402202633922,0.2978566441344167,0.0020172433040559,whu_hi_hanchuan,WHU-Hi HanChuan,,PCA-KMeans,,5,0.4104864911325648,0.000344404852532,0.4167188288743059,0.000526911875343,,,True
0.3872774064789175,0.0363193131811443,0.3113807566518091,0.0176216137056078,whu_hi_hanchuan,WHU-Hi HanChuan,,MiniBatch-KMeans,,5,0.4361444113263392,0.0252834144087923,0.4276379450937755,0.0070073993500816,,,True
0.3927367299051396,0.0025258240839904,0.3306190900275542,0.0085246092125616,whu_hi_hanchuan,WHU-Hi HanChuan,,FCM,,5,0.436612344241788,0.0017306900735082,0.4122269250184445,0.0097405840682551,,,True
0.3544535311438439,0.0012468174978135,0.3106568352395817,0.0066293047000171,whu_hi_hanchuan,WHU-Hi HanChuan,,SLIC-KMeans,,5,0.4308226076489425,0.001749124630428,0.438391643691997,0.0018243566331865,,,True
0.0149670461128119,0.0,0.0975327202527759,0.0,whu_hi_hanchuan,WHU-Hi HanChuan,matched-superpixel-adaptation+declared-dependency-fill,DLSS,,1,0.0717437736072078,0.0,0.3149186502543393,0.0,957.661184,16.18106690500008,True
0.0342115359580563,0.0,0.1515280419401682,0.0,whu_hi_hanchuan,WHU-Hi HanChuan,official-superpixel+declared-octave-and-propagation-shims,S2DL,,1,0.1317989940244635,0.0,0.1642488253795674,0.0,305.70496,136.02881183599993,True
0.3234322867601792,0.0,0.438112344994487,0.0,botswana,Botswana,,Graph-RMS,38.0,1,0.7166020599989423,0.0,0.4498152709359606,0.0,,,False
0.3963170225203126,0.0031364733986828,0.5740118744111457,0.0035820303767617,botswana,Botswana,,PCA-KMeans,,5,0.6051691876729112,0.0035899133784607,0.5748152709359606,0.0039488162987625,,,True
0.3666363285301529,0.0164278823637766,0.523518152049075,0.0180578931657426,botswana,Botswana,,MiniBatch-KMeans,,5,0.5860255338614992,0.0102089255629459,0.5097290640394089,0.0145677214447864,,,True
0.3320853619439721,0.000168713949604,0.4789978834988722,0.0001437938309406,botswana,Botswana,,FCM,,5,0.5490056957989039,8.729477161202778e-05,0.4745073891625616,0.0001376889148706,,,True
0.504275963264727,0.0203246255219046,0.629245879132357,0.0218863335660307,botswana,Botswana,,SLIC-KMeans,,5,0.7092279491233859,0.0135560454198893,0.6205665024630542,0.0158515764795214,,,True
0.037522363525722,0.0,0.1560948703805846,0.0,botswana,Botswana,matched-superpixel-adaptation+declared-dependency-fill,DLSS,,1,0.2336170696499221,0.0,0.1945812807881773,0.0,902.73792,4.069743235000033,True
0.0832952006757495,0.0,0.1847303858599832,0.0,botswana,Botswana,official-superpixel+declared-octave-and-propagation-shims,S2DL,,1,0.2488816271162683,0.0,0.1930418719211822,0.0,305.504256,135.65210298599993,True
0.9447463525838752,0.0,0.6773542941185876,0.0,trento,Trento,,Graph-RMS,68.0,1,0.8494834984320455,0.0,0.85331303369299,0.0,,,False
0.3635851359318077,0.0001091106901812,0.5697026635655242,0.0001821939281723,trento,Trento,,PCA-KMeans,,5,0.4943169758615113,0.0001442066004753,0.6451380154895082,0.0001505833476676,,,True
0.33750327724646,0.0431924920602929,0.5289205467402789,0.0757231298103053,trento,Trento,,MiniBatch-KMeans,,5,0.4776898418458219,0.0289927446548346,0.5991460912159926,0.0874873792942255,,,True
0.3133326650940166,0.0,0.4972369551290936,0.0,trento,Trento,,FCM,,5,0.4651650855026382,0.0,0.5361752829813994,0.0,,,True
0.6829534505253625,0.0022212284480566,0.5866882529300711,0.0028724764120637,trento,Trento,,SLIC-KMeans,,5,0.6334484329858863,0.0020715387075965,0.7815515985966771,0.0006290217259921,,,True
-0.0008199841010926,0.0,0.1667596512238008,0.0,trento,Trento,matched-superpixel-adaptation+declared-dependency-fill,DLSS,,1,0.0214594061908388,0.0,0.3398424571390746,0.0,101.654528,0.4186488290001762,True
0.0485111357687342,0.0,0.2072167559610485,0.0,trento,Trento,official-superpixel+declared-octave-and-propagation-shims,S2DL,,1,0.0642768327543256,0.0,0.3663533461309327,0.0,148.410368,2.446359890000167,True
