dataset,Graph-RMS__overall_accuracy_mean,PCA-KMeans__overall_accuracy_mean,MiniBatch-KMeans__overall_accuracy_mean,FCM__overall_accuracy_mean,SLIC-KMeans__overall_accuracy_mean,DLSS__overall_accuracy_mean,S2DL__overall_accuracy_mean,Graph-RMS__balanced_accuracy_mean,PCA-KMeans__balanced_accuracy_mean,MiniBatch-KMeans__balanced_accuracy_mean,FCM__balanced_accuracy_mean,SLIC-KMeans__balanced_accuracy_mean,DLSS__balanced_accuracy_mean,S2DL__balanced_accuracy_mean,Graph-RMS__nmi_mean,PCA-KMeans__nmi_mean,MiniBatch-KMeans__nmi_mean,FCM__nmi_mean,SLIC-KMeans__nmi_mean,DLSS__nmi_mean,S2DL__nmi_mean,Graph-RMS__ari_mean,PCA-KMeans__ari_mean,MiniBatch-KMeans__ari_mean,FCM__ari_mean,SLIC-KMeans__ari_mean,DLSS__ari_mean,S2DL__ari_mean
salinas_a,0.8057217651458489,0.7704188481675394,0.800149588631264,0.8409872849663426,0.8266641735228124,0.6303290949887809,0.462602842183994,0.7474972440069237,0.7542865565997122,0.8370363304714932,0.8682545009057311,0.8798441713438307,0.6446098273354581,0.3270804837235588,0.8658628671449173,0.7695265956682595,0.7861905236315737,0.7827509645275461,0.8523202397079419,0.6854192729778098,0.3136530267439736,0.7494985720647199,0.6911912563204199,0.7075873240124284,0.7297599778216002,0.7707628282785495,0.5135901979362584,0.1679440653326618
indian_pines,0.4180895697141184,0.3744950726900186,0.3607961752366084,0.3181578690603961,0.4044297004585813,0.4368231046931408,0.3712557322665626,0.4955754819131091,0.4076469459761017,0.3649410089519594,0.3315037733532257,0.3953821056965741,0.3021158793222159,0.3384166162213456,0.5884603158773851,0.4469942534813366,0.4314132745421764,0.4060474952586279,0.481397879185699,0.5416164371163689,0.4527136627804508,0.302183229144247,0.2257956516694766,0.2128597352895063,0.1825852862328109,0.2306861268941498,0.2433631880943811,0.2028804577739838
ksc,0.4642103243139512,0.4150067165611207,0.4695068125119938,0.5243523316062176,0.4138936864325465,0.1871042026482441,0.1838418729610439,0.3754820265726657,0.2544094307597481,0.3649090449713362,0.4094133652470909,0.3251296052110802,0.0998566650740563,0.1960279477237477,0.6305940831371325,0.4743445265820705,0.5334817883286799,0.5752150312336327,0.5481609248797786,0.0256892808183766,0.223529807999202,0.3226347228184095,0.2543775091970691,0.3676789407413972,0.440373939936611,0.3226097072957905,0.0030585039091567,0.0841491490143713
pavia_university,0.6364783991023003,0.5654619412754817,0.5530250607817468,0.5183981671965588,0.480806994576398,0.4393117636057602,0.284365064522162,0.5009343545405501,0.5679203455911241,0.5517986099793771,0.5445504100524019,0.4771647567012128,0.1229244114002478,0.1974218459335571,0.6836429337225108,0.5565832288255244,0.5460182344038558,0.5348420093975964,0.4802596462212087,0.021591698613666,0.1394971294599647,0.5136556317923918,0.3560497976377451,0.3386600651707809,0.3065723253508211,0.283662516390717,0.0063061559264257,-0.0215704759544849
whu_hi_longkou,0.8109581406263751,0.6986907334434982,0.6960526444446618,0.6094621153601705,0.7478786752842936,0.3465694087277918,0.209326201953633,0.5497125911408385,0.5086199609786399,0.5454438045008835,0.510121419444489,0.5807211304152438,0.1860380085646166,0.1328868293458837,0.8078669514573277,0.6527748297654876,0.6512227301089085,0.6237939666233467,0.713297865523349,0.1166976541316014,0.0242788449926074,0.8260649967194518,0.6931498668892561,0.6911978145437208,0.5929760172695403,0.744598853742566,0.0425817079167765,-0.0033047727477398
whu_hi_honghu,0.7703630528610551,0.3414155415277752,0.3259702140974881,0.27815553940723,0.3522629062331099,0.4375227893962394,0.1967012591383862,0.6197677015816356,0.3448599489177422,0.3329052099325769,0.3157004267625636,0.3887748890241582,0.0986133356806936,0.156047285717559,0.7648677499572327,0.4443174268753669,0.4378002367464779,0.4207295871056075,0.5057971749784178,0.1058595706433431,0.2180049087025118,0.8585813540740569,0.2124348032813055,0.2083536646012017,0.1660127183896393,0.2376863425667838,0.0296690252671869,0.1231503018998801
whu_hi_hanchuan,0.5129887780064458,0.4167188288743059,0.4276379450937755,0.4122269250184445,0.438391643691997,0.3149186502543393,0.1642488253795674,0.3828498407998426,0.2978566441344167,0.3113807566518091,0.3306190900275542,0.3106568352395817,0.0975327202527759,0.1515280419401682,0.613392922012487,0.4104864911325648,0.4361444113263392,0.436612344241788,0.4308226076489425,0.0717437736072078,0.1317989940244635,0.6365325393677354,0.334938902237797,0.3872774064789175,0.3927367299051396,0.3544535311438439,0.0149670461128119,0.0342115359580563
botswana,0.4498152709359606,0.5748152709359606,0.5097290640394089,0.4745073891625616,0.6205665024630542,0.1945812807881773,0.1930418719211822,0.438112344994487,0.5740118744111457,0.523518152049075,0.4789978834988722,0.629245879132357,0.1560948703805846,0.1847303858599832,0.7166020599989423,0.6051691876729112,0.5860255338614992,0.5490056957989039,0.7092279491233859,0.2336170696499221,0.2488816271162683,0.3234322867601792,0.3963170225203126,0.3666363285301529,0.3320853619439721,0.504275963264727,0.037522363525722,0.0832952006757495
trento,0.85331303369299,0.6451380154895082,0.5991460912159926,0.5361752829813994,0.7815515985966771,0.3398424571390746,0.3663533461309327,0.6773542941185876,0.5697026635655242,0.5289205467402789,0.4972369551290936,0.5866882529300711,0.1667596512238008,0.2072167559610485,0.8494834984320455,0.4943169758615113,0.4776898418458219,0.4651650855026382,0.6334484329858863,0.0214594061908388,0.0642768327543256,0.9447463525838752,0.3635851359318077,0.33750327724646,0.3133326650940166,0.6829534505253625,-0.0008199841010926,0.0485111357687342
