prototype_threshold,n_clusters_full,largest_cluster_fraction_full,normalized_entropy_full,microcluster_mass_full,adjacent_partition_ari_label_free,overall_accuracy,balanced_accuracy,kappa,nmi,ari,n_pred_clusters_labeled
0.0,213,0.3743775100401606,0.46885223522098907,0.005080321285140562,,0.8528165750976369,0.6765666444651536,0.8067922427392735,0.8464034990640424,0.9445236729691064,56
0.05,213,0.3743775100401606,0.46885223522098907,0.005080321285140562,1.0,0.8528165750976369,0.6765666444651536,0.8067922427392735,0.8464034990640424,0.9445236729691064,56
0.1,211,0.3743775100401606,0.46965856216247437,0.005060240963855421,0.9999999005157817,0.8528165750976369,0.6765666444651536,0.8067922427392735,0.8464419853425007,0.9445239355443414,55
0.15,200,0.3743775100401606,0.4741868059585604,0.004387550200803213,0.9999984836592204,0.8528165750976369,0.6765666444651536,0.8067922427392735,0.8464419853425007,0.9445239355443414,55
0.2,187,0.3743775100401606,0.4797740133770087,0.0038052208835341367,0.9999942438866557,0.8528165750976369,0.6765666444651536,0.8067922427392735,0.8464419853425006,0.9445239355443414,55
0.25,179,0.3743775100401606,0.4836327407223481,0.00357429718875502,0.9999984386833228,0.8528165750976369,0.6765666444651536,0.8067922427392735,0.8464419853425006,0.9445239355443414,55
0.3,165,0.3743775100401606,0.49038100757952063,0.002580321285140562,0.9999701581259158,0.8528165750976369,0.6765666444651536,0.8067922427392735,0.846478111047311,0.9445242968096248,53
0.35,153,0.3743775100401606,0.4967333150427561,0.0016867469879518072,0.9999491009700748,0.85331303369299,0.6773542941185876,0.8074307605830786,0.8473290845968211,0.9446618525430628,51
0.4,138,0.37440763052208836,0.505604764171477,0.0010742971887550202,0.9999040820811088,0.85331303369299,0.6773542941185876,0.8074307605830786,0.847494385386481,0.9446635132598683,50
0.45,130,0.37440763052208836,0.5105477632719672,0.0008032128514056225,0.999970500233915,0.85331303369299,0.6773542941185876,0.8074307605830786,0.8486557911876073,0.9447289018532763,49
0.5,123,0.37440763052208836,0.5153240852256853,0.0006325301204819277,0.9999836383006547,0.85331303369299,0.6773542941185876,0.8074307605830786,0.84898281914304,0.9447374025790376,47
0.55,111,0.37440763052208836,0.5234454371111972,0.00038152610441767067,0.9997882481239784,0.85331303369299,0.6773542941185876,0.8074307605830786,0.8489828191430401,0.9447374025790376,47
0.6,98,0.3751305220883534,0.5332445776218512,0.00030120481927710846,0.997630206411024,0.85331303369299,0.6773542941185876,0.8074307605830786,0.8494335264855223,0.9447459924622775,45
0.65,82,0.3751305220883534,0.5480694124971723,0.000251004016064257,0.9992959309062723,0.85331303369299,0.6773542941185876,0.8074307605830786,0.8494030186019192,0.9447459693535458,44
0.7,70,0.37569277108433735,0.5599330450327294,0.000251004016064257,0.9982546786359539,0.85331303369299,0.6773542941185876,0.8074307605830786,0.8494834984320455,0.9447463525838751,41
0.75,68,0.37569277108433735,0.5623526891379875,0.000251004016064257,0.9999371390449786,0.85331303369299,0.6773542941185876,0.8074307605830786,0.8494834984320455,0.9447463525838751,41
1.0,1,1.0,0.0,0.0,0.0,0.3475541139868935,0.16666666666666666,0.0,0.0,0.0,1
1.5,1,1.0,0.0,0.0,1.0,0.3475541139868935,0.16666666666666666,0.0,0.0,0.0,1
2.0,1,1.0,0.0,0.0,1.0,0.3475541139868935,0.16666666666666666,0.0,0.0,0.0,1
3.0,1,1.0,0.0,0.0,1.0,0.3475541139868935,0.16666666666666666,0.0,0.0,0.0,1
