prototype_threshold,n_clusters_full,largest_cluster_fraction_full,normalized_entropy_full,microcluster_mass_full,adjacent_partition_ari_label_free,overall_accuracy,balanced_accuracy,kappa,nmi,ari,n_pred_clusters_labeled
0.0,4099,0.3443702921416938,0.39049322069333553,0.039495114006514655,,0.46670504701592785,0.3831871852782423,0.3945157342665383,0.6320853264914402,0.3197504841692431,58
0.05,3606,0.3443702921416938,0.39488270601330705,0.03478725570032573,0.9999943996061861,0.46670504701592785,0.3831871852782423,0.39466845283899354,0.6320853264914402,0.3197504841692431,58
0.1,3033,0.3443702921416938,0.39925871152609965,0.024802142711726385,0.999982133477524,0.46670504701592785,0.3831871852782423,0.39466845283899354,0.6322882498879907,0.31976312807225654,57
0.15,2640,0.3443702921416938,0.40215553013236455,0.018427448086319218,0.9999777161422313,0.46670504701592785,0.3831871852782423,0.39466845283899354,0.6323911181754699,0.31976874753167595,56
0.2,2391,0.3443702921416938,0.4044139206150109,0.014753410016286645,0.9999855609557906,0.46670504701592785,0.3831871852782423,0.39466845283899354,0.6323911181754699,0.31976874753167595,56
0.25,2260,0.3443702921416938,0.4058968266411397,0.012466281555374593,0.999992160903836,0.46670504701592785,0.3831871852782423,0.39466845283899354,0.6329488062785699,0.3198530355070341,55
0.3,2102,0.34437665411237783,0.40761065573395266,0.010252315757328991,0.9999699596336452,0.4680483592400691,0.3854030763830222,0.3959274036895333,0.6340756879211529,0.32026076860789776,52
0.35,2052,0.34437665411237783,0.4085373432966699,0.009698824307817589,0.9999878696448786,0.4680483592400691,0.3854030763830222,0.39584028850650843,0.6340756879211529,0.32026076860789776,52
0.4,1975,0.34437665411237783,0.40915411286852654,0.008595022394136807,0.9999725858409217,0.47131068892726924,0.3886399385307754,0.3993729194901522,0.6361193452917412,0.32105938635771514,49
0.45,1908,0.34437665411237783,0.40916797048466524,0.008054254885993485,0.9999735476127305,0.47131068892726924,0.3886399385307754,0.3993729194901522,0.6361193452917411,0.32105938635771514,49
0.5,1840,0.34437665411237783,0.40877288566010145,0.007561202157980456,0.9999610063792158,0.47131068892726924,0.3886399385307754,0.3993729194901522,0.6361193452917412,0.32105938635771514,49
0.55,1793,0.34437665411237783,0.40891769007712386,0.007017253664495114,0.9999884235051429,0.47131068892726924,0.3886399385307754,0.3993729194901522,0.6361193452917412,0.32105938635771514,49
0.6,1744,0.34437665411237783,0.40803545891534493,0.0068741093241042345,0.9999454950268127,0.47131068892726924,0.3886399385307754,0.3993729194901522,0.6361193452917412,0.32105938635771514,49
0.65,1706,0.34437665411237783,0.40781667596253857,0.006721422027687296,0.9999789057193681,0.47131068892726924,0.3886399385307754,0.3993729194901522,0.6369989583177865,0.32125613243382367,48
0.7,1675,0.34437665411237783,0.4076507273070874,0.006333341815960912,0.999983817120084,0.47131068892726924,0.3886399385307754,0.3993729194901522,0.6369989583177865,0.32125613243382367,48
0.75,1586,0.34437665411237783,0.40797107940569877,0.005853013029315961,0.9999648773955482,0.47131068892726924,0.3886399385307754,0.39907057162595083,0.6369989583177865,0.32125613243382367,48
1.0,1434,0.34459932308631924,0.4064603778779144,0.004835097719869707,0.9994059108278931,0.47131068892726924,0.3886399385307754,0.39907057162595083,0.6369989583177865,0.32125613243382367,48
1.5,1190,0.34459932308631924,0.4051382902485838,0.0036867620114006514,0.9996344359596662,0.46171560161197467,0.37340003440198244,0.3872860232297065,0.6334963612855562,0.3212814417942106,43
2.0,972,0.34459932308631924,0.40416704300101886,0.0033463965798045604,0.9992983584816189,0.46459412780656306,0.3761538438383694,0.390214629817492,0.6348740363915937,0.3226033870657406,39
3.0,720,0.34459932308631924,0.40713923171270583,0.0026052269951140064,0.9992339395838729,0.46421032431395126,0.3754820265726657,0.3893802590998807,0.6305940831371325,0.32263472281840955,31
