prototype_threshold,n_clusters_full,largest_cluster_fraction_full,normalized_entropy_full,microcluster_mass_full,adjacent_partition_ari_label_free,overall_accuracy,balanced_accuracy,kappa,nmi,ari,n_pred_clusters_labeled
0.0,3013,0.3687793952967525,0.5042225328987668,0.025258678611422173,,0.6623626494402537,0.4207544738829435,0.5828999558672995,0.7141250703227305,0.8445914926434676,2544
0.05,2980,0.3687793952967525,0.504853662986143,0.02501231802911534,0.9999999420994296,0.6623626494402537,0.4207544738829435,0.5828999558672995,0.7141915591351178,0.8445915584479368,2515
0.1,2886,0.3687793952967525,0.5066717344615139,0.024179171332586787,0.9999996962877715,0.6623626494402537,0.4207544738829435,0.5828999558672995,0.7144122462636193,0.8445918773000133,2427
0.15,2699,0.3687793952967525,0.510302038292485,0.02256662933930571,0.9999982259075115,0.6623626494402537,0.4207544738829435,0.5828999558672995,0.715071337221014,0.8445937682333481,2267
0.2,2449,0.3687838745800672,0.5154193421577346,0.020094064949608064,0.9999807563470932,0.6624040259327166,0.4208003524512426,0.5829492678190095,0.7161318863449327,0.8446131905106137,2058
0.25,2209,0.3687838745800672,0.5206470127819162,0.017115341545352745,0.9999927656731086,0.6624040259327166,0.4208003524512426,0.5829492495166964,0.7175589848673539,0.8446195253320514,1857
0.3,1929,0.3687838745800672,0.527667201589018,0.013077267637178052,0.999987763736173,0.6625307414408846,0.42110705483726196,0.5831045625356723,0.7191047764747341,0.8446274465243022,1637
0.35,1598,0.3687838745800672,0.5369021899601022,0.007733482642777156,0.9999673962817673,0.6627272797800839,0.4215797854032451,0.5833449719556535,0.7219387328540828,0.8446570087155264,1368
0.4,1325,0.3687838745800672,0.5461195818768922,0.003961926091825308,0.9999593794029079,0.6633841315979343,0.4243459067658158,0.5841519443905048,0.7248570004147091,0.8446854042662659,1146
0.45,1024,0.3687838745800672,0.5584721021326265,0.001357222844344905,0.9998997426091155,0.6640435694465635,0.42578223513125496,0.5849588769921761,0.7288827462441555,0.8447524672004028,900
0.5,661,0.3687838745800672,0.5802815483821165,0.00033370660694288914,0.9997568255717476,0.6650004008347707,0.43208233841192134,0.5861317525667263,0.7350353821673113,0.8448680451809607,603
0.55,96,0.3687838745800672,0.6842336457563808,4.703247480403136e-05,0.9903430636959696,0.7180502362339116,0.5496973607225337,0.6507350224140022,0.7621078548171063,0.8484374347053387,94
0.6,78,0.3687838745800672,0.6948851884244712,4.703247480403136e-05,0.9972941672275366,0.7299046013245649,0.5715811065132963,0.665280128685108,0.7650508135566484,0.8491952270332124,77
0.65,51,0.37347592385218364,0.7006325109459811,4.703247480403136e-05,0.9727739109586029,0.7697992981512466,0.6174900608154027,0.7134781904811456,0.7669273171176934,0.859603230023584,51
0.7,49,0.37347592385218364,0.7032771904464161,4.703247480403136e-05,0.998809386200832,0.7698587768591622,0.6175379712936325,0.7135493620708571,0.7665424655564209,0.8595826959910808,49
0.75,46,0.37347592385218364,0.7010999185355148,4.703247480403136e-05,0.9958186838290769,0.7703630528610551,0.6197677015816356,0.7141199472391251,0.7648677499572327,0.8585813540740569,46
1.0,6,0.42873012318029113,0.674451147172054,0.0,0.5102748950860636,0.650358294564422,0.21530356761089176,0.5517303779217746,0.607587310725093,0.6072934910359934,6
1.5,1,1.0,0.0,0.0,0.0,0.4222600357389454,0.045454545454545456,0.0,0.0,0.0,1
2.0,1,1.0,0.0,0.0,1.0,0.4222600357389454,0.045454545454545456,0.0,0.0,0.0,1
3.0,1,1.0,0.0,0.0,1.0,0.4222600357389454,0.045454545454545456,0.0,0.0,0.0,1
